uid,nces_school_id,school,nces_district_id,district_name,date,school_year,year,time,day_of_week,city,state,school_type,enrollment,killed,injured,casualties,shooting_type,age_shooter1,gender_shooter1,race_ethnicity_shooter1,shooter_relationship1,shooter_deceased1,deceased_notes1,age_shooter2,gender_shooter2,race_ethnicity_shooter2,shooter_relationship2,shooter_deceased2,deceased_notes2,white,black,hispanic,asian,american_indian_alaska_native,hawaiian_native_pacific_islander,two_or_more,resource_officer,weapon,weapon_source,lat,long,staffing,low_grade,high_grade,lunch,county,state_fips,county_fips,ulocale,School,Year,Date,Time,City,State,Killed,Injured,Longitude,Latitude,School.1,Year.1,Date.1,Time.1,City.1,State.1,Killed.1,Injured.1,Longitude.1,Latitude.1,School,Year,Date,Time,City,State,Killed,Injured,Longitude,Latitude
21,240009000263,Lake Clifton Eastern High School,2400090.0,Baltimore City Public Schools,1/17/2001,2000-2001,2001,8:45 AM,Wednesday,Baltimore,Maryland,public,2236,1,0,1,targeted,19.0,m,,none,0.0,,,,,,,,24.0,2205.0,2,4.0,1.0,,,0,.32-caliber handgun,,39.316116,-76.590038,126.5,PK,12,914,Baltimore City,24,24510,11.0,Lake Clifton Eastern High School,2001,1/17/2001,8:45 AM,Baltimore,Maryland,1,0,-76.590038,39.316116,Lake Clifton Eastern High School,2001,1/17/2001,8:45 AM,Baltimore,Maryland,1,0,-76.590038,39.316116,Lake Clifton Eastern High School,2001,1/17/2001,8:45 AM,Baltimore,Maryland,1,0,-76.590038,39.316116
22,481623021205,Pearl C. Anderson Middle School,4816230.0,Dallas ISD,2/6/2001,2000-2001,2001,,Tuesday,Dallas,Texas,public,879,0,1,1,targeted,14.0,m,,student (suspended),0.0,,,,,,,,3.0,793.0,82,0.0,1.0,,,1,small revolver,,32.759323,-96.744389,89.3,7,8,607,Dallas County,48,48113,11.0,Pearl C. Anderson Middle School,2001,2/6/2001,,Dallas,Texas,0,1,-96.744389,32.759323,Pearl C. Anderson Middle School,2001,2/6/2001,,Dallas,Texas,0,1,-96.744389,32.759323,Pearl C. Anderson Middle School,2001,2/6/2001,,Dallas,Texas,0,1,-96.744389,32.759323
23,061623002026,Santana High School,616230.0,Grossmont Union High,3/5/2001,2000-2001,2001,9:20 AM,Monday,Santee,California,public,1894,2,13,15,indiscriminate,15.0,m,w,student,0.0,,,,,,,,1591.0,24.0,174,58.0,8.0,,,1,.22-caliber revolver,father,32.85756,-116.971045,79.9,9,12,202,San Diego County,6,6073,21.0,Santana High School,2001,3/5/2001,9:20 AM,Santee,California,2,13,-116.971045,32.85756,Santana High School,2001,3/5/2001,9:20 AM,Santee,California,2,13,-116.971045,32.85756,Santana High School,2001,3/5/2001,9:20 AM,Santee,California,2,13,-116.971045,32.85756
24,1195358,Bishop Neumann Junior-Senior High,,,3/7/2001,2000-2001,2001,12:00 PM,Wednesday,Williamsport,Pennsylvania,private,227,0,1,1,targeted,14.0,f,w,student,0.0,,,,,,,,208.0,10.0,5,4.0,0.0,,,0,.22-caliber revolver,father,41.249266,-76.996564,21.125,7,12,,Lycoming County,42,42081,13.0,Bishop Neumann Junior-Senior High,2001,3/7/2001,12:00 PM,Williamsport,Pennsylvania,0,1,-76.996564,41.249266,Bishop Neumann Junior-Senior High,2001,3/7/2001,12:00 PM,Williamsport,Pennsylvania,0,1,-76.996564,41.249266,Bishop Neumann Junior-Senior High,2001,3/7/2001,12:00 PM,Williamsport,Pennsylvania,0,1,-76.996564,41.249266
25,061623002020,Granite Hills High School,616230.0,Grossmont Union High,3/22/2001,2000-2001,2001,1:00 PM,Thursday,El Cajon,California,public,2846,0,5,5,targeted and indiscriminate,18.0,m,,student,0.0,,,,,,,,2256.0,67.0,376,66.0,50.0,,,1,Mossberg pump-action 12-gauge shotgun,,32.800101,-116.916889,112.2,9,12,436,San Diego County,6,6073,21.0,Granite Hills High School,2001,3/22/2001,1:00 PM,El Cajon,California,0,5,-116.916889,32.800101,Granite Hills High School,2001,3/22/2001,1:00 PM,El Cajon,California,0,5,-116.916889,32.800101,Granite Hills High School,2001,3/22/2001,1:00 PM,El Cajon,California,0,5,-116.916889,32.800101
26,180387000637,Lew Wallace High School,1803870.0,Gary Community School Corp,3/30/2001,2000-2001,2001,8:15 AM,Friday,Gary,Indiana,public,1179,1,0,1,targeted,17.0,m,,former student (expelled),0.0,,,,,,,,2.0,1135.0,39,3.0,0.0,,,1,pistol,,41.536645,-87.34132,64.0,9,12,446,Lake County,18,18089,13.0,Lew Wallace High School,2001,3/30/2001,8:15 AM,Gary,Indiana,1,0,-87.34132,41.536645,Lew Wallace High School,2001,3/30/2001,8:15 AM,Gary,Indiana,1,0,-87.34132,41.536645,Lew Wallace High School,2001,3/30/2001,8:15 AM,Gary,Indiana,1,0,-87.34132,41.536645
27,220108001296,Monroe City Alternative Center,2201080.0,City of Monroe School Board,4/20/2001,2000-2001,2001,7:20 AM,Friday,Monroe,Louisiana,public,65,0,0,0,targeted,14.0,m,,student,0.0,,,,,,,,,,,,,,,0,.380 caliber semi-automatic pistol,,32.524187,-92.070624,,,,,Ouachita Parish,22,22073,13.0,Monroe City Alternative Center,2001,4/20/2001,7:20 AM,Monroe,Louisiana,0,0,-92.070624,32.524187,Monroe City Alternative Center,2001,4/20/2001,7:20 AM,Monroe,Louisiana,0,0,-92.070624,32.524187,Monroe City Alternative Center,2001,4/20/2001,7:20 AM,Monroe,Louisiana,0,0,-92.070624,32.524187
28,481854001737,Ennis High School,4818540.0,Ennis ISD,5/15/2001,2000-2001,2001,12:00 PM,Tuesday,Ennis,Texas,public,1279,0,0,0,hostage suicide,16.0,m,,student,1.0,suicide,,,,,,,692.0,202.0,383,2.0,0.0,,,0,.357 Magnum pistol,,32.305062,-96.629758,93.7,9,12,447,Ellis County,48,48139,41.0,Ennis High School,2001,5/15/2001,12:00 PM,Ennis,Texas,0,0,-96.629758,32.305062,Ennis High School,2001,5/15/2001,12:00 PM,Ennis,Texas,0,0,-96.629758,32.305062,Ennis High School,2001,5/15/2001,12:00 PM,Ennis,Texas,0,0,-96.629758,32.305062
29,062271007751,Belmont High School,622710.0,Los Angeles Unified,7/30/2001,2000-2001,2001,7:20 AM,Monday,Los Angeles,California,public,5264,0,1,1,targeted,,m,,,0.0,,,,,,,,27.0,98.0,4679,456.0,4.0,,,1,revolver,,34.061499,-118.263286,194.3,9,12,4046,Los Angeles County,6,6037,11.0,Belmont High School,2001,7/30/2001,7:20 AM,Los Angeles,California,0,1,-118.263286,34.061499,Belmont High School,2001,7/30/2001,7:20 AM,Los Angeles,California,0,1,-118.263286,34.061499,Belmont High School,2001,7/30/2001,7:20 AM,Los Angeles,California,0,1,-118.263286,34.061499
30,210135000271,Latonia Elementary School,2101350.0,Covington Independent,9/12/2001,2001-2002,2001,3:00 PM,Wednesday,Covington,Kentucky,public,526,1,0,1,targeted,30.0,f,w,parent of student,0.0,,,,,,,,441.0,81.0,0,1.0,3.0,,,0,.380-caliber semiautomatic pistol,,39.044149,-84.49833,16.8,KG,5,350,Kenton County,21,21117,21.0,Latonia Elementary School,2001,9/12/2001,3:00 PM,Covington,Kentucky,1,0,-84.49833,39.044149,Latonia Elementary School,2001,9/12/2001,3:00 PM,Covington,Kentucky,1,0,-84.49833,39.044149,Latonia Elementary School,2001,9/12/2001,3:00 PM,Covington,Kentucky,1,0,-84.49833,39.044149
