School,Type,Year,Date,Time,City,State,City Type,Race,Killed,Injured,Victims,Longitude,Latitude
Delaware Valley Charter School,High,2014,01/17/2014,3:30 PM,Philadelphia,Pennsylvania,,Unknown,Unknown,Unknown,Unknown,,
Rebound High School,High School,2014,01/27/2014,12:00 PM,Carbondale,Illinois,,Unknown,Unknown,Unknown,Unknown,,
President Theodore Roosevelt High,High,2014,01/28/2014,8:30 AM,Honolulu,Hawaii,,Unknown,Unknown,Unknown,Unknown,,
Cesar Chavez High School,High School,2014,01/31/2014,Unknown,Phoenix,Arizona,,Unknown,Unknown,Unknown,Unknown,,
North High School,High School,2014,01/31/2014,Unknown,Des Moines,Iowa,,Unknown,Unknown,Unknown,Unknown,,
Bend High School,High School,2014,02/07/2014,12:00 PM,Bend,Oregon,,Unknown,Unknown,Unknown,Unknown,,
Salisbury High School,High School,2014,02/10/2014,12:00 AM,Salisbury,North Carolina,,Unknown,Unknown,Unknown,Unknown,,
Charles F. Brush High School,High School,2014,02/11/2014,8:30 PM,Lyndhurt,Ohio,,Unknown,Unknown,Unknown,Unknown,,
Raytown Success Academy,High,2014,02/20/2014,10:30 AM,Raytown,Michigan,,Unknown,Unknown,Unknown,Unknown,,
Madison Parish High School,High School,2014,03/07/2014,Unknown,Tallulah,Louisiana,,Unknown,Unknown,Unknown,Unknown,,
Academy of Knowledge Preschool,Other,2014,03/12/2014,12:00 AM,Miami,Florida,,Unknown,Unknown,Unknown,Unknown,,
Benjamin Banneker High School,High School,2014,03/25/2014,1:00 PM,College Park,Georgia,,Unknown,Unknown,Unknown,Unknown,,
Unknown School (bus),Unknown,2014,04/03/2014,1:15 PM,Newark,New Jersey,,Unknown,Unknown,Unknown,Unknown,,
D H Conley High School,High School,2014,04/09/2014,1:30 PM,Greenville,North Carolina,,Unknown,Unknown,Unknown,Unknown,,
Liberty Elementary School,Elementary School,2014,04/10/2014,3:30 PM,Columbus,Ohio,,Unknown,Unknown,Unknown,Unknown,,
East English Village Preparatory Academy,Unknown,2014,04/11/2014,9:30 PM,Detroit,Michigan,,Unknown,Unknown,Unknown,Unknown,,
Provo High School,High School,2014,04/21/2014,2:30 PM,Provo,Utah,,Unknown,Unknown,Unknown,Unknown,,
St. Mary Catholic School,High,2014,04/21/2014,4:30 PM,Griffith,Indiana,,Unknown,Unknown,Unknown,Unknown,,
Horizon Elementary School,Elementary School,2014,05/03/2014,6:30 PM,Everett,Washington,,Unknown,Unknown,Unknown,Unknown,,
John F. Kennedy High School,High School,2014,05/14/2014,9:00 AM,Richmond,California,,Unknown,Unknown,Unknown,Unknown,,
Clarke Street Elementary School,Elementary School,2014,05/21/2014,7:00 PM,Milwaukee,Wisconsin,,Unknown,Unknown,Unknown,Unknown,,
Reynolds High School,High School,2014,06/10/2014,8:07 AM,Troutdale,Oregon,,Unknown,Unknown,Unknown,Unknown,,
Kelly High School,High School,2014,06/23/2014,8:15 PM,Benton,Missouri,,Unknown,Unknown,Unknown,Unknown,,
Heather Ridge High School,High School,2014,08/13/2014,6:45 PM,Fredrick,Maryland,,Unknown,Unknown,Unknown,Unknown,,
Saunders Elementary School,Elementary School,2014,08/14/2014,1:30 AM,Newport News,Virginia,,Unknown,Unknown,Unknown,Unknown,,
Stellar Leadership Academy,High,2014,09/09/2014,Unknown,Miami,Florida,,Unknown,Unknown,Unknown,Unknown,,
Greenwood Lakes Middle School,Middle School,2014,09/10/2014,5:00 PM,Lake Mary,Florida,,Unknown,Unknown,Unknown,Unknown,,
Westbrook Elementary School,Elementary School,2014,09/11/2014,9:00 AM,Taylorsville,Utah,,Unknown,Unknown,Unknown,Unknown,,
North High School,High School,2014,09/19/2014,10:00 PM,Des Moines,Iowa,,Unknown,Unknown,Unknown,Unknown,,
West High School,High School,2014,09/25/2014,7:45 AM,Manchester,New Hampshire,,Unknown,Unknown,Unknown,Unknown,,
Albemarle High School,High School,2014,09/30/2014,7:40 AM,Albemarle,North Carolina,,Unknown,Unknown,Unknown,Unknown,,
Fern Creek Traditional High School,High School,2014,09/30/2014,1:00 PM,Louisville,Kentucky,,Unknown,Unknown,Unknown,Unknown,,
Langston Hughes High School,High School,2014,10/03/2014,10:00 PM,Fairburn,Georgia,,Unknown,Unknown,Unknown,Unknown,,
A Maceo Walker Middle School,Middle School,2014,10/21/2014,7:45 AM,Memphis,Tennessee,,Unknown,Unknown,Unknown,Unknown,,
Lakewood Stadium (Mays High School Game),High School,2014,10/24/2014,11:00 PM,Atlanta,Georgia,,Unknown,Unknown,Unknown,Unknown,,
Marysville Pilchuck High School,High School,2014,10/24/2014,10:39 AM,Marysville,Washington,,Unknown,Unknown,Unknown,Unknown,,
Miami Carol City High School,High School,2014,11/20/2014,3:30 PM,Miami,Florida,,Unknown,Unknown,Unknown,Unknown,,
Rosemary Anderson High School,High School,2014,12/12/2014,Unknown,Portland,Oregon,,Unknown,Unknown,Unknown,Unknown,,
Sunnyside Elementary School,Elementary School,2014,12/16/2014,11:00 PM,Pittsburgh,Pennsylvania,,Unknown,Unknown,Unknown,Unknown,,
Benton Elementary School,Elementary School,2014,12/17/2014,2:30 PM,Waterville,Maine,,Unknown,Unknown,Unknown,Unknown,,
Godfrey Lee High School,High School,2014,12/17/2014,8:00 PM,Wyoming,Michigan,,Unknown,Unknown,Unknown,Unknown,,
Wisconsin Lutheran High School,High School,2015,01/15/2015,Unknown,Milwaukee,Wisconsin,,Unknown,Unknown,Unknown,Unknown,,
Vanguard High School,High School,2015,01/16/2015,Unknown,Ocala,Florida,,Unknown,Unknown,Unknown,Unknown,,
Williamson High School,High School,2015,01/20/2015,Unknown,Mobile,Alabama,,Unknown,Unknown,Unknown,Unknown,,
Royal Live Oaks Academy,K-12,2015,01/22/2015,5:00 PM,Hardeeville,South Carolina,,Unknown,Unknown,Unknown,Unknown,,
Hand in Hand Montessori,Other,2015,01/26/2015,3:07 PM,Roseville,Minnesota,,Unknown,Unknown,Unknown,Unknown,,
Frederick High School,High School,2015,02/04/2015,8:00 PM,Frederick,Maryland,,Unknown,Unknown,Unknown,Unknown,,
Lawson Elementary School,Elementary School,2015,02/15/2015,2:00 AM,Little Rock,Arkansas,,Unknown,Unknown,Unknown,Unknown,,
Tenaya Middle School,Middle School,2015,02/15/2015,7:55 PM,Merced,California,,Unknown,Unknown,Unknown,Unknown,,
Pershing Elementary School,Elementary School,2015,03/30/2015,5:30 PM,University City,Missouri,,Unknown,Unknown,Unknown,Unknown,,
Seguin High School,High School,2015,04/17/2015,9:30 AM,Seguin,Texas,,Unknown,Unknown,Unknown,Unknown,,
Ruth Deskin Elementary School,Elementary School,2015,04/22/2015,3:20 PM,Las Vegas,Nevada,,Unknown,Unknown,Unknown,Unknown,,
North Thurston High School,High School,2015,04/27/2015,7:24 AM,Lacey,Washington,,Unknown,Unknown,Unknown,Unknown,,
Dr. Gustavus Brown Elementary School,Elementary School,2015,04/28/2015,6:23 PM,Waldorf,Maryland,,Unknown,Unknown,Unknown,Unknown,,
Willow Elementary School,Elementary School,2015,05/04/2015,11:00 PM,Cleveland,Ohio,,Unknown,Unknown,Unknown,Unknown,,
Conyers Middle School,Middle School,2015,05/05/2015,1:00 PM,Conyers,Georgia,,Unknown,Unknown,Unknown,Unknown,,
Corona del Sol High School,High School,2015,05/12/2015,9:00 AM,Tempe,Arizona,,Unknown,Unknown,Unknown,Unknown,,
Unknown School (bus),Unknown,2015,05/12/2015,4:30 PM,Jacksonville,Florida,,Unknown,Unknown,Unknown,Unknown,,
Robinson High School,High School,2015,05/20/2015,9:30 AM,Robinson,Texas,,Unknown,Unknown,Unknown,Unknown,,
Duval County School Bus,High,2015,05/21/2015,Unknown,Jacksonville,Florida,,Unknown,Unknown,Unknown,Unknown,,
Southwestern Classical Academy,Elementary,2015,05/24/2015,2:00 AM,Flint,Michigan,,Unknown,Unknown,Unknown,Unknown,,
Everglades City School,K-12,2015,05/27/2015,8:15 PM,Everglades City,Florida,,Unknown,Unknown,Unknown,Unknown,,
South Macon Elementary School,Elementary School,2015,06/04/2015,5:27 AM,Franklin,North Carolina,,Unknown,Unknown,Unknown,Unknown,,
Fort Calhoun Elementary School,Elementary School,2015,06/23/2015,7:30 PM,Fort Calhoun,Nebraska,,Unknown,Unknown,Unknown,Unknown,,
Sarah J. Rawson Elementary School,Elementary School,2015,06/27/2015,6:30 PM,Hartford,Connecticut,,Unknown,Unknown,Unknown,Unknown,,
John Jay High School,High School,2015,06/29/2015,1:30 PM,San Antonio,Texas,,Unknown,Unknown,Unknown,Unknown,,
Coppell Middle School East,Middle School,2015,07/05/2015,6:00 PM,Dallas,Texas,,Unknown,Unknown,Unknown,Unknown,,
Elolf Elementary School,Elementary School,2015,07/24/2015,1:00 PM,Converse,Texas,,Unknown,Unknown,Unknown,Unknown,,
Paradise High School,High School,2015,08/08/2015,7:15 AM,Paradise,Texas,,Unknown,Unknown,Unknown,Unknown,,
William Velasquez Elementary School,Elementary School,2015,08/23/2015,8:00 AM,Richmond,Texas,,Unknown,Unknown,Unknown,Unknown,,
W S Hornsby Elementary School,Elementary School,2015,08/25/2015,10:45 AM,Augusta,Georgia,,Unknown,Unknown,Unknown,Unknown,,
Newberg High School,High School,2015,09/03/2015,8:30 PM,Newberg,Oregon,,Unknown,Unknown,Unknown,Unknown,,
Northside High School,High School,2015,09/11/2015,9:55 PM,Lafayette,Louisiana,,Unknown,Unknown,Unknown,Unknown,,
Central Elementary School,Elementary School,2015,09/22/2015,3:00 PM,Stateville,North Carolina,,Unknown,Unknown,Unknown,Unknown,,
Harrisburg High School,High School,2015,09/30/2015,10:00:00,Harrisburg,South Dakota,,Unknown,Unknown,Unknown,Unknown,,
Karen Wagner High School,High School,2015,10/15/2015,9:00 AM,San Antonio,Texas,,Unknown,Unknown,Unknown,Unknown,,
Ed White Middle School,Middle School,2015,10/24/2015,3:00 AM,San Antonio,Texas,,Unknown,Unknown,Unknown,Unknown,,
Vereen School,Other,2015,11/05/2015,Unknown,Moultrie,Georgia,,Unknown,Unknown,Unknown,Unknown,,
Sulphur Rock Magnet School,Unknown,2015,11/11/2015,3:30 PM,Sulphur Rock,Arkansas,,Unknown,Unknown,Unknown,Unknown,,
Nathaniel “Traz” Powell Stadium (high school game),High School,2015,11/20/2015,9:15 PM,Miami,Florida,,Unknown,Unknown,Unknown,Unknown,,
West High School,High School,2015,12/04/2015,6:30 PM,Wichita,Kansas,,Unknown,Unknown,Unknown,Unknown,,
Central Middle School,Middle School,2016,01/12/2016,12:15 PM,Dover,Delaware,,Unknown,Unknown,Unknown,Unknown,,
Harmony Grove High School,High School,2016,01/13/2016,3:00 PM,Benton,Arkansas,,Unknown,Unknown,Unknown,Unknown,,
Northwestern Community High School,High School,2016,01/20/2016,Unknown,Indianapolis,Indiana,,Unknown,Unknown,Unknown,Unknown,,
Lawrence Central High School,High School,2016,01/22/2016,9:30 PM,Indianapolis,Indiana,,Unknown,Unknown,Unknown,Unknown,,
Benjamin Franklin High School,High School,2016,01/29/2016,12:00 PM,Philadelphia,Pennsylvania,,Unknown,Unknown,Unknown,Unknown,,
Muskegon Heights High School,High School,2016,02/09/2016,Unknown,Muskegon Heights,Michigan,,Unknown,Unknown,Unknown,Unknown,,
Independence High School,High School,2016,02/12/2016,7:53 AM,Glendale,Arizona,,Unknown,Unknown,Unknown,Unknown,,
Chester High School (bus),High School,2016,02/17/2016,11:00 AM,Chester,Pennsylvania,,Unknown,Unknown,Unknown,Unknown,,
Rock Crusher Elementary School,Elementary School,2016,02/17/2016,8:00 AM,Homosassa,Florida,,Unknown,Unknown,Unknown,Unknown,,
Palestine High School,High School,2016,02/26/2016,5:56 PM,Palestine,Texas,,Unknown,Unknown,Unknown,Unknown,,
Madison High School,High School,2016,02/29/2016,11:15 AM,Middletown,Ohio,,Unknown,Unknown,Unknown,Unknown,,
Huffman High School,High School,2016,03/15/2016,2:30 PM,Birmingham,Alabama,,Unknown,Unknown,Unknown,Unknown,,
Antigo High School,High School,2016,04/23/2016,Unknown,Antigo,Wisconsin,,Unknown,Unknown,Unknown,Unknown,,
Kimball High School,High School,2016,05/02/2016,8:00 AM,Dallas,Texas,,Unknown,Unknown,Unknown,Unknown,,
East High School,High School,2016,05/04/2016,3:00 PM,Pueblo,Colorado,,Unknown,Unknown,Unknown,Unknown,,
High Point High School,High School,2016,05/05/2016,4:40 PM,Beltsville,Maryland,,Unknown,Unknown,Unknown,Unknown,,
Oscar Patterson Elementary School,Elementary School,2016,05/06/2016,Unknown,Panama City,Florida,,Unknown,Unknown,Unknown,Unknown,,
Robert Stuart Middle School,Middle School,2016,05/06/2016,12:45 PM,Twin Falls,Idaho,,Unknown,Unknown,Unknown,Unknown,,
Southside High School,High School,2016,05/13/2016,8:30 AM,Greenville,South Carolina,,Unknown,Unknown,Unknown,Unknown,,
Augusta High School,High School,2016,05/15/2016,1:55 PM,Augusta,Kansas,,Unknown,Unknown,Unknown,Unknown,,
Jeremiah Burke High School,High School,2016,06/08/2016,1:00 PM,Dorchester,Massachusetts,,Unknown,Unknown,Unknown,Unknown,,
Mcnair Elementary School,Elementary School,2016,06/16/2016,12:30 PM,Chicago,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Woodrow Wilson Junior High School,Middle School,2016,06/30/2016,7:35 PM,Hanford,California,,Unknown,Unknown,Unknown,Unknown,,
Ava High School,High School,2016,07/25/2016,1:45 AM,Ava,Missouri,,Unknown,Unknown,Unknown,Unknown,,
Wedgewood Middle School,Middle School,2016,08/17/2016,8:10 PM,Columbus,Ohio,,Unknown,Unknown,Unknown,Unknown,,
Southridge High School,High School,2016,08/19/2016,9:40 PM,Miami,Florida,,Unknown,Unknown,Unknown,Unknown,,
McClain High School,High School,2016,09/02/2016,9:15 PM,Tulsa,Oklahoma,,Unknown,Unknown,Unknown,Unknown,,
Detroit Collegiate Preparatory High School,High School,2016,09/07/2016,7:00 AM,Detroit,Michigan,,Unknown,Unknown,Unknown,Unknown,,
Alpine High School,High School,2016,09/08/2016,9:00 AM,Alpine,Texas,,Unknown,Unknown,Unknown,Unknown,,
Cedar Rapids Jefferson High School,High School,2016,09/09/2016,7:55 AM,Cedar Rapids,Iowa,,Unknown,Unknown,Unknown,Unknown,,
Small Athletic Field (William Penn Senior High School game),High School,2016,09/09/2016,9:30 PM,York,Pennsylvania,,Unknown,Unknown,Unknown,Unknown,,
T A Wilson Academy (bus),High,2016,09/26/2016,2:30 PM,Jackson,Mississippi,,Unknown,Unknown,Unknown,Unknown,,
Elder High School,High School,2016,09/27/2016,9:30 PM,Cincinnati,Ohio,,Unknown,Unknown,Unknown,Unknown,,
Sycamore Middle School,Middle School,2016,09/28/2016,10:00:00,Pleasant View,Tennessee,,Unknown,Unknown,Unknown,Unknown,,
Townville Elementary School,Elementary School,2016,09/28/2016,1:45 PM,Townville,South Carolina,,Unknown,Unknown,Unknown,Unknown,,
Christ of King Jesuit College Prep (bus),High,2016,09/30/2016,5:30 PM,Chicago,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Dunbar HIgh School,High School,2016,10/06/2016,7:30 PM,Fort Worth,Texas,,Unknown,Unknown,Unknown,Unknown,,
Vigor High School,High School,2016,10/11/2016,3:45 PM,Mobile,Alabama,,Unknown,Unknown,Unknown,Unknown,,
Linden McKinley STEM Academy,High,2016,10/13/2016,2:40 PM,Columbus,Ohio,,Unknown,Unknown,Unknown,Unknown,,
Benjamin E. Mays High School,High School,2016,10/15/2016,Unknown,Atlanta,Georgia,,Unknown,Unknown,Unknown,Unknown,,
June Jordan High School for Equity,High School,2016,10/18/2016,3:20 PM,San Francisco,California,,Unknown,Unknown,Unknown,Unknown,,
Union Middle School,Middle School,2016,10/25/2016,3:00 PM,Sandy,Utah,,Unknown,Unknown,Unknown,Unknown,,
Grand Junction High School,High School,2016,11/02/2016,3:00 PM,Grand Junction,Colorado,,Unknown,Unknown,Unknown,Unknown,,
Berthoud High School,High School,2016,11/03/2016,Unknown,Berthoud,Colorado,,Unknown,Unknown,Unknown,Unknown,,
Bay City Western High School,High School,2016,11/11/2016,12:30 PM,Auburn,Michigan,,Unknown,Unknown,Unknown,Unknown,,
Crossroads Elementary School,Elementary School,2016,11/17/2016,8:40 AM,St. Paul,Minnesota,,Unknown,Unknown,Unknown,Unknown,,
Mueller Park Junior High School,Middle School,2016,12/01/2016,8:13 AM,Bountiful,Utah,,Unknown,Unknown,Unknown,Unknown,,
Bayless High School,High School,2016,12/09/2016,7:15 PM,St. Louis,Missouri,,Unknown,Unknown,Unknown,Unknown,,
Hug High School,High School,2016,12/09/2016,11:25 AM,Reno,Nevada,,Unknown,Unknown,Unknown,Unknown,,
Samuel W. Wolfson High School,High School,2016,12/16/2016,14:50:00,Jacksonville,Florida,,Unknown,Unknown,Unknown,Unknown,,
Lake Forest South Elementary School,Elementary School,2017,01/01/2017,4:00 PM,Harrington,Delaware,,Unknown,Unknown,Unknown,Unknown,,
Alexander City Middle School,Middle School,2017,01/10/2017,1:00 PM,Alexander City,Alabama,,Unknown,Unknown,Unknown,Unknown,,
Franklin County Elementary School,Elementary School,2017,01/17/2017,Unknown,Eastpoint,Florida,,Unknown,Unknown,Unknown,Unknown,,
West Liberty-Salem High School,High School,2017,01/20/2017,07:36:00,West Liberty,Ohio,,Unknown,Unknown,Unknown,Unknown,,
South Aiken High School,High School,2017,01/27/2017,21:00:00,Aiken,South Carolina,,Unknown,Unknown,Unknown,Unknown,,
Thomas G Scullen Middle School,Middle School,2017,01/27/2017,20:00:00,Naperville,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Scotlandville Magnet High School,High School,2017,02/06/2017,12:00 PM,Baton Rouge,Louisiana,,Unknown,Unknown,Unknown,Unknown,,
Maplewood Middle School,Middle School,2017,02/18/2017,6:00 AM,Maplewood,Minnesota,,Unknown,Unknown,Unknown,Unknown,,
Robert E. Lee High School,High School,2017,03/16/2017,15:00:00,Montgomery,Alabama,,Unknown,Unknown,Unknown,Unknown,,
King City High School,High School,2017,03/21/2017,11:00 AM,King City,California,,Unknown,Unknown,Unknown,Unknown,,
Linton Middle School,Middle School,2017,03/28/2017,4:30 PM,Penn Hills,Pennsylvania,,Unknown,Unknown,Unknown,Unknown,,
North Park Elementary School,Elementary School,2017,04/10/2017,10:30 AM,San Bernardino,California,,Unknown,Unknown,Unknown,Unknown,,
Booker T. Washington High School,High School,2017,04/15/2017,9:05 PM,Tulsa,Oklahoma,,Unknown,Unknown,Unknown,Unknown,,
Menlo Park Elementary School,Elementary School,2017,04/15/2017,12:42:00,Portland,Oregon,,Unknown,Unknown,Unknown,Unknown,,
Moss Bluff Elementary School,Elementary School,2017,05/15/2017,7:50 AM,Lake Charles,Louisiana,,Unknown,Unknown,Unknown,Unknown,,
Kerbyville High School,High School,2017,05/23/2017,4:00 PM,Kirbyville,Texas,,Unknown,Unknown,Unknown,Unknown,,
Greensboro High School,High School,2017,05/24/2017,11:30 AM,Greensboro,Alabama,,Unknown,Unknown,Unknown,Unknown,,
McMillan Middle School,Middle School,2017,05/24/2017,8:00 PM,Omaha,Nebraska,,Unknown,Unknown,Unknown,Unknown,,
McLain High School,High School,2017,05/26/2017,Unknown,Tulsa,Oklahoma,,Unknown,Unknown,Unknown,Unknown,,
Warren Elementary School,Elementary School,2017,06/16/2017,1:51 PM,Chicago,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Wilson High School,High School,2017,06/22/2017,8:00 AM,Florence,South Carolina,,Unknown,Unknown,Unknown,Unknown,,
Hickman Academy Preparatory School,High,2017,07/19/2017,9:00 PM,Milwaukee,Wisconsin,,Unknown,Unknown,Unknown,Unknown,,
Spanish Fork High School,High School,2017,07/21/2017,2:30 AM,Spanish Fork,Utah,,Unknown,Unknown,Unknown,Unknown,,
Bazemore-Hyder Stadium (Valdosta High School),High School,2017,08/01/2017,12:45 AM,Valdosta,Georgia,,Unknown,Unknown,Unknown,Unknown,,
Hudson County School Bus,Unknown,2017,08/13/2017,Unknown,Hudson,New York,,Unknown,Unknown,Unknown,Unknown,,
Lithia Spring High,High,2017,08/17/2017,7:15 AM,Lithia Springs,Georgia,,Unknown,Unknown,Unknown,Unknown,,
Arroyo Valley High School,High School,2017,08/31/2017,9:00 PM,San Bernardino,California,,Unknown,Unknown,Unknown,Unknown,,
Columbus Scioto 6-12,6-12,2017,09/08/2017,8:33 AM,Columbus,Ohio,,Unknown,Unknown,Unknown,Unknown,,
North Little Rock High School,High School,2017,09/08/2017,Unknown,North Little Rock,Arkansas,,Unknown,Unknown,Unknown,Unknown,,
Freeman High School,High School,2017,09/13/2017,10:00:00,Rockford,Washington,,Unknown,Unknown,Unknown,Unknown,,
Mattoon High School,High School,2017,09/20/2017,11:30:00,Mattoon,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Southern Middle School,Middle School,2017,09/28/2017,19:30:00,Lexington,Kentucky,,Unknown,Unknown,Unknown,Unknown,,
Lees Summit North High School,High School,2017,09/29/2017,8:45 AM,Lees Summit,Missouri,,Unknown,Unknown,Unknown,Unknown,,
Sun Valley High School,High School,2017,09/29/2017,3:29 PM,Los Angeles,California,,Unknown,Unknown,Unknown,Unknown,,
Purchase Line Elementary School,Elementary School,2017,09/30/2017,11:00 PM,Commodore,Pennsylvania,,Unknown,Unknown,Unknown,Unknown,,
Charlotte School Bus,Unknown,2017,10/12/2017,7:30 AM,Charlotte,North Carolina,,Unknown,Unknown,Unknown,Unknown,,
Kernersville Elementary School,Elementary School,2017,10/14/2017,11:00 AM,Kernersville,North Carolina,,Unknown,Unknown,Unknown,Unknown,,
Start High School,High School,2017,10/20/2017,9:30 PM,Toledo,Ohio,,Unknown,Unknown,Unknown,Unknown,,
Proctor High School,High School,2017,10/27/2017,2:30 PM,Utica,New York,,Unknown,Unknown,Unknown,Unknown,,
Pattengill Academy,Middle,2017,11/03/2017,4:30 PM,Lansing,Michigan,,Unknown,Unknown,Unknown,Unknown,,
Benjamin Banneker High School,High School,2017,11/09/2017,3:25 PM,College Park,Georgia,,Unknown,Unknown,Unknown,Unknown,,
Lakeview Academy,Elementary,2017,11/10/2017,8:30 AM,Milledgeville,Georgia,,Unknown,Unknown,Unknown,Unknown,,
Lake Minneola High School,High School,2017,11/14/2017,Unknown,Minneola,Florida,,Unknown,Unknown,Unknown,Unknown,,
Rancho Tehama Elementary School,Elementary School,2017,11/14/2017,7:50 AM,Rancho Tehama Reserve,California,,Unknown,Unknown,Unknown,Unknown,,
North Side High School,High School,2017,11/17/2017,9:30 PM,Jackson,Tennessee,,Unknown,Unknown,Unknown,Unknown,,
Manual High School,High School,2017,11/23/2017,12:06 PM,Denver,Colorado,,Unknown,Unknown,Unknown,Unknown,,
Booksin Elementary School,Elementary School,2017,11/28/2017,4:00 AM,San Jose,California,,Unknown,Unknown,Unknown,Unknown,,
Bath High School,High School,2017,11/29/2017,7:00 PM,Lima,Ohio,,Unknown,Unknown,Unknown,Unknown,,
Salem High School,High School,2017,11/30/2017,8:10 AM,Virginia Beach,Virginia,,Unknown,Unknown,Unknown,Unknown,,
Aztec High School,High School,2017,12/07/2017,08:04:00,Aztec,New Mexico,,Unknown,Unknown,Unknown,Unknown,,
Champaign Central High School,High School,2017,12/09/2017,9:20 PM,Champaign,Illinois,,Unknown,Unknown,Unknown,Unknown,,
High Point Central High School,High School,2017,12/11/2017,2:08 PM,High Point,North Carolina,,Unknown,Unknown,Unknown,Unknown,,
Sam Rayburn High School,High School,2017,12/12/2017,6:00 PM,Pasadena,Texas,,Unknown,Unknown,Unknown,Unknown,,
Elisha M. Pease Elementary School,Elementary School,2017,12/14/2017,Unknown,Dallas,Texas,,Unknown,Unknown,Unknown,Unknown,,
Beecher High School,High School,2017,12/19/2017,Unknown,Beecher,Michigan,,Unknown,Unknown,Unknown,Unknown,,
Lincoln Elementary School,Elementary School,2017,12/27/2017,10:40 PM,Lancaster,California,,Unknown,Unknown,Unknown,Unknown,,
Edna Karr High School,High School,2017,12/31/2017,8:00 PM,Algiers,Louisiana,,Unknown,Unknown,Unknown,Unknown,,
Pinewood Elementary School,Elementary School,2017,12/31/2017,11:55 PM,Marysville,Washington,,Unknown,Unknown,Unknown,Unknown,,
New Start High School,High School,2018,01/04/2018,1:30 PM,Seattle,Washington,,Unknown,Unknown,Unknown,Unknown,,
Forest City School Bus,Unknown,2018,01/05/2018,Unknown,Forest City,Iowa,,Unknown,Unknown,Unknown,Unknown,,
Coronado Elementary School,Elementary School,2018,01/09/2018,9:20 AM,Sierra Vista,Arizona,,Unknown,Unknown,Unknown,Unknown,,
Montpelier High School,High School,2018,01/16/2018,9:30 AM,Montpelier,Vermont,,Unknown,Unknown,Unknown,Unknown,,
Italy High School,High School,2018,01/22/2018,7:53 AM,Italy,Texas,,Unknown,Unknown,Unknown,Unknown,,
NET Charter High School,High School,2018,01/22/2018,1:30 PM,New Orleans,Louisiana,,Unknown,Unknown,Unknown,Unknown,,
Marshall County High School,High School,2018,01/23/2018,7:57 AM,Benton,Kentucky,,Unknown,Unknown,Unknown,Unknown,,
Murphy High School,High School,2018,01/25/2018,11:20 AM,Mobile,Alabama,,Unknown,Unknown,Unknown,Unknown,,
Dearborn High School,High School,2018,01/26/2018,8:00 PM,Dearborn,Michigan,,Unknown,Unknown,Unknown,Unknown,,
Lincoln High School,High School,2018,01/31/2018,3:51 PM,Philadelphia,Pennsylvania,,Unknown,Unknown,Unknown,Unknown,,
Salvador B. Castro Middle School,Middle School,2018,02/01/2018,8:55 AM,Los Angeles,California,,Unknown,Unknown,Unknown,Unknown,,
Harmony Learning Center,Elementary,2018,02/05/2018,1:45 PM,Maplewood,Minnesota,,Unknown,Unknown,Unknown,Unknown,,
Oxon Hill High School,High School,2018,02/05/2018,Unknown,Oxon Hill,Maryland,,Unknown,Unknown,Unknown,Unknown,,
The Metropolitan High School,High School,2018,02/08/2018,3:20 PM,New York,New York,,Unknown,Unknown,Unknown,Unknown,,
Peal-Cohn High School,High School,2018,02/09/2018,Unknown,Nashville,Tennessee,,Unknown,Unknown,Unknown,Unknown,,
Marjory Stoneman Douglas High School,High School,2018,02/14/2018,2:21 PM,Parkland,Florida,,Unknown,Unknown,Unknown,Unknown,,
North Broward Preparatory School,K-12,2018,02/15/2018,9:30 AM,Coconut Creek,Florida,,Unknown,Unknown,Unknown,Unknown,,
Jackson Memorial Middle School,Middle School,2018,02/20/2018,Unknown,Massillon,Ohio,,Unknown,Unknown,Unknown,Unknown,,
Oakland High School,High School,2018,02/26/2018,Unknown,Tacoma,Washington,,Unknown,Unknown,Unknown,Unknown,,
Dalton High School,High School,2018,02/28/2018,11:30 AM,Dalton,Georgia,,Unknown,Unknown,Unknown,Unknown,,
Kingston High School,High School,2018,03/05/2018,7:40 AM,Cadet,Missouri,,Unknown,Unknown,Unknown,Unknown,,
Huffman High School,High School,2018,03/07/2018,3:45 PM,Birmingham,Alabama,,Unknown,Unknown,Unknown,Unknown,,
Frederick Douglass High School,High School,2018,03/09/2018,Unknown,Lexington,Kentucky,,Unknown,Unknown,Unknown,Unknown,,
George Washington Middle School,Middle School,2018,03/13/2018,9:10 AM,Alexandria,Virginia,,Unknown,Unknown,Unknown,Unknown,,
Seaside High School,High School,2018,03/13/2018,1:20 PM,Seaside,California,,Unknown,Unknown,Unknown,Unknown,,
Big Sky High School,High School,2018,03/16/2018,12:45 PM,Missoula,Montana,,Unknown,Unknown,Unknown,Unknown,,
Douglass Park Elementary School,Elementary School,2018,03/19/2018,4:23 PM,Portsmouth,Virginia,,Unknown,Unknown,Unknown,Unknown,,
Great Mills High School,High School,2018,03/20/2018,7:55 AM,Great Mills,Maryland,,Unknown,Unknown,Unknown,Unknown,,
Eupora High School,High School,2018,03/28/2018,2:30 PM,Eupora,Mississippi,,Unknown,Unknown,Unknown,Unknown,,
