School,Race,Killed,Injured,Victims,Longitude,Latitude,Year,City,State,Weapon,Weapon Source,Age,Gender_Shooter1,Shooter_Relationship1,Type,Date,Time,Bullied,Domestic_Violence,Gang_Related,Preplanned,Quarter,Location
Redondo Union High School,Unknown,0,1,1,-118.384456,33.844274,2001,Redondo Beach,California,.38-Caliber Handgun,Unknown,16.0,M,Student,High School,10/26/2001,10:00 AM,No,No,No,No,Fall,Courtyard
Caro Learning Center,Unknown,0,0,0,-83.438553,43.458011,2001,Caro,Michigan,20-Guage Shotgun,Legally Purchased By Shooter,17.0,M,Student,High,11/12/2001,2:40 PM,No,No,No,No,Fall,Classroom
Gardena High School,Unknown,0,2,2,-118.296704,33.866342,2002,Los Angeles,California,Pistol,Unknown,17.0,M,Student,High School,02/06/2002,2:50 PM,No,No,No,No,Winter,Bathroom
Gardena High School,Unknown,0,2,2,-118.296704,33.866342,2002,Los Angeles,California,Pistol,Unknown,17.0,M,Student,High School,01/18/2011,10:40 AM,No,No,No,No,Winter,Classroom
Gardena High School,Unknown,0,2,2,-118.29633,33.866372,2011,Los Angeles,California,9-Mm Beretta Handgun,Unknown,17.0,M,Student,High School,02/06/2002,2:50 PM,No,No,No,No,Winter,Bathroom
Gardena High School,Unknown,0,2,2,-118.29633,33.866372,2011,Los Angeles,California,9-Mm Beretta Handgun,Unknown,17.0,M,Student,High School,01/18/2011,10:40 AM,No,No,No,No,Winter,Classroom
Benjamin Tasker Middle School,B,0,1,1,-76.746341,38.957407,2002,Bowie,Maryland,Bushmaster Xm-15 Rifle,Stolen,Unknown,M,None,Middle School,10/07/2002,8:09 AM,No,No,No,No,Fall,Front of School
Lincoln High School,Unknown,0,1,1,-74.070502,40.716783,2002,Jersey City,New Jersey,Browning .380-Caliber Pistol,Unknown,15.0,M,Student,High School,10/29/2002,8:30 AM,No,No,No,No,Fall,Hallway
Lincoln High School,Unknown,0,1,1,-74.070502,40.716783,2002,Jersey City,New Jersey,Browning .380-Caliber Pistol,Unknown,15.0,M,Student,High School,01/03/2006,3:20 PM,No,No,Yes,No,Winter,Beside Building
St. James Catholic School,Unknown,1,1,2,-94.45515,39.240746,2002,Liberty,Missouri,Revolver,Legally Purchased By Shooter,41.0,M,Parent Of Student,K-8,11/07/2002,12:40 PM,No,Yes,No,No,Fall,Parking Lot
Ranum High School,Unknown,0,0,0,-105.015495,39.841774,2003,Westminster,Colorado,Small Semi-Automatic Handgun,Unknown,14.0,M,Student,High School,02/05/2003,8:40 AM,No,No,No,No,Winter,Outside on School Property
Cardozo High School,Unknown,0,1,1,-77.029756,38.922338,2003,Washington,District Of Columbia,Handgun,Unknown,15.0,M,Student,High School,04/01/2003,12:15 PM,No,No,Yes,No,Spring,Hallway
Cardozo High School,Unknown,0,1,1,-77.029756,38.922338,2003,Washington,District Of Columbia,Handgun,Unknown,15.0,M,Student,High School,09/21/2006,12:15 PM,No,No,No,No,Fall,Beside Building
Red Lion Area Junior High School,W,1,0,1,-76.609728,39.893809,2003,Red Lion,Pennsylvania,".44-Caliber Handgun, .22-Caliber Gun To Kill Himself",Stepfather,14.0,M,Student,Middle School,04/24/2003,7:34 AM,No,No,No,No,Spring,Cafeteria
Vicksburg High School,Unknown,1,0,1,-90.885251,32.323263,2003,Vicksburg,Mississippi,Handgun,Unknown,20.0,M,Unknown,High School,09/10/2003,2:30 PM,No,No,No,No,Fall,Football Field/Track
Rocori High School,W,2,0,2,-94.426618,45.466258,2003,Cold Spring,Minnesota,.22 Caliber Pistol,Father,15.0,M,Student,High School,09/24/2003,11:38 AM,Yes,No,No,No,Fall,Gym
