LONCOD,LATCOD,CDCODE,year_x,school,city,state,address,urbanrural,race,killed_x,injured_x,victims,type,NCESSCH,month_year_x,uid,nces_school_id,nces_district_id,district_name,date,school_year,year_y,time,day_of_week,school_type,enrollment,killed_y,injured_y,casualties,shooting_type,age_shooter1,gender_shooter1,race_ethnicity_shooter1,shooter_relationship1,shooter_deceased1,deceased_notes1,age_shooter2,gender_shooter2,race_ethnicity_shooter2,shooter_relationship2,shooter_deceased2,deceased_notes2,white,black,hispanic,asian,american_indian_alaska_native,hawaiian_native_pacific_islander,two_or_more,resource_officer,weapon,weapon_source,lat,long,staffing,low_grade,high_grade,lunch,county,state_fips,county_fips,ulocale,month_year_y
-122.4026,45.5285,4103.0,2014,Reynolds High School,Troutdale,Oregon,1698 SW Cherry Park Rd,suburbtown,WHITE,1,1,2,High School,411052001009.0,2014-06,165,411052001009,4110520.0,Reynolds SD 7,2014-06-10,2013-2014,2014,8:07 AM,Tuesday,public,2806,1,1,2,indiscriminate,15.0,m,w,student,1.0,suicide,,,,,,,1208.0,231.0,917,263.0,21.0,41.0,125.0,1,M4 AR-15 rifle,brother,45.5285,-122.4026,106.78,9,12,1744,Multnomah County,41,41051,21.0,2014-06
-80.243461,25.84814,1224.0,2014,Stellar Leadership Academy,Miami,Florida,7900 NW 27th Ave,suburbtown,BLACK,0,1,1,High School,120039005495.0,2014-09,166,120039005495,1200390.0,Dade,2014-09-09,2014-2015,2014,,Tuesday,public,233,0,1,1,targeted,,,,,0.0,,,,,,,,0.0,204.0,29,0.0,0.0,0.0,0.0,0,,,25.84814,-80.243461,13.0,9,12,62,Miami-Dade County,12,12086,21.0,2014-09
-85.592357,38.156605,2103.0,2014,Fern Creek High School,Louisville,Kentucky,9115 Fern Creek Rd,urban,WHITE,0,1,1,High School,210299000628.0,2014-09,167,210299000628,2102990.0,Jefferson County,2014-09-30,2014-2015,2014,1:00 PM,Tuesday,public,1545,0,1,1,targeted,16.0,m,b,student,0.0,,,,,,,,716.0,577.0,136,73.0,1.0,1.0,41.0,1,handgun,,38.156605,-85.592357,82.9,9,12,930,Jefferson County,21,21111,11.0,2014-09
-96.69975,43.43212,4600.0,2015,Harrisburg High School,Harrisburg,South Dakota,1300 West Willow St,rural,WHITE,0,1,1,High School,463135000264.0,2015-09,173,463135000264,4631350.0,Harrisburg School District 41-2,2015-09-30,2015-2016,2015,10:00 AM,Wednesday,public,802,0,1,1,targeted,16.0,m,w,student,0.0,,,,,,,,738.0,12.0,17,9.0,10.0,0.0,16.0,0,handgun,,43.43212,-96.6998,64.2,9,12,117,Lincoln County,46,46083,41.0,2015-09
-92.779558,33.651403,504.0,2016,Harmony Grove High School,Camden,Arkansas,401 Ouachita Rd 88,rural,WHITE,0,1,1,High School,50729000443.0,2016-01,177,050729000443,507290.0,Harmony Grove School District,2016-01-13,2015-2016,2016,3:00 PM,Wednesday,public,393,0,1,1,accidental,17.0,m,,student,0.0,,,,,,,,294.0,69.0,20,3.0,0.0,1.0,6.0,0,pistol,,33.6514,-92.7796,47.17,7,12,195,Ouachita County,5,5103,42.0,2016-01
-112.221045,33.53216,407.0,2016,Independence High School,Glendale,Arizona,6602 N 75th Avenue,suburbtown,HISP,1,0,1,High School,40345000284.0,2016-02,179,040345000284,403450.0,Glendale Union High School District,2016-02-12,2015-2016,2016,7:53 AM,Friday,public,2114,1,0,1,targeted,15.0,f,,student,1.0,suicide,,,,,,,247.0,190.0,1535,42.0,29.0,3.0,68.0,0,9mm Beretta pistol,"classmate, who took from parents",33.53216,-112.221,89.6,9,12,1584,Maricopa County,4,4013,21.0,2016-02
-86.681986,33.612911,107.0,2016,Huffman High School,Birmingham,Alabama,950 Springville Rd,urban,BLACK,0,1,1,High School,10039000141.0,2016-03,181,010039000141,100390.0,Birmingham City,2016-03-15,2015-2016,2016,2:30 PM,Tuesday,public,1433,0,1,1,targeted,19.0,m,b,brother of student,0.0,,,,,,,,13.0,1341.0,63,2.0,6.0,0.0,8.0,1,,,33.61291,-86.682,66.0,9,12,775,Jefferson County,1,1073,12.0,2016-03
-86.681986,33.612911,107.0,2016,Huffman High School,Birmingham,Alabama,950 Springville Rd,urban,BLACK,0,1,1,High School,10039000141.0,2016-03,211,010039000141,100390.0,Birmingham City,2018-03-07,2017-2018,2018,3:45 PM,Wednesday,public,1433,1,0,1,accidental,17.0,m,b,student,0.0,,,,,,,,13.0,1341.0,63,2.0,6.0,0.0,8.0,1,pistol,,33.61291,-86.682,66.0,9,12,775,Jefferson County,1,1073,12.0,2018-03
-86.681986,33.612911,107.0,2018,Huffman High School,Birmingham,Alabama,950 Springville Road,urban,BLACK,1,1,2,High School,10039000141.0,2018-03,181,010039000141,100390.0,Birmingham City,2016-03-15,2015-2016,2016,2:30 PM,Tuesday,public,1433,0,1,1,targeted,19.0,m,b,brother of student,0.0,,,,,,,,13.0,1341.0,63,2.0,6.0,0.0,8.0,1,,,33.61291,-86.682,66.0,9,12,775,Jefferson County,1,1073,12.0,2016-03
-86.681986,33.612911,107.0,2018,Huffman High School,Birmingham,Alabama,950 Springville Road,urban,BLACK,1,1,2,High School,10039000141.0,2018-03,211,010039000141,100390.0,Birmingham City,2018-03-07,2017-2018,2018,3:45 PM,Wednesday,public,1433,1,0,1,accidental,17.0,m,b,student,0.0,,,,,,,,13.0,1341.0,63,2.0,6.0,0.0,8.0,1,pistol,,33.61291,-86.682,66.0,9,12,775,Jefferson County,1,1073,12.0,2018-03
