School,Race,Killed,Injured,Longitude,Latitude,Year,City,State,Weapon,Weapon Source,Age,Gender_Shooter1,Shooter_Relationship1,Type,Date,Time,Bullied,Domestic_Violence,Gang_Related,Preplanned,Quarter,Location,Time_Bin,Weapon_Category
Westinghouse High School,Unknown,0,1,-79.90059,40.4607,2006,Pittsburgh,Pennsylvania,Ak-47,Unknown,23.0,M,Unknown,High School,02/21/2006,2024-05-16 07:45:00,No,No,Unknown,No,Winter,Front of School,Morning,Other
Roseburg High School,W,0,1,-123.34712,43.208,2006,Roseburg,Oregon,Large-Caliber Handgun With Hollow-Point Bullets,Unknown,14.0,M,Student,High School,02/23/2006,2024-05-16 07:45:00,Yes,No,No,No,Winter,Hallway,Morning,Pistol
Pine Middle School,W,0,2,-119.78186,39.47981,2006,Reno,Nevada,.38-Caliber Pistol,Father,14.0,M,Student,Middle School,03/14/2006,2024-05-16 09:00:00,Yes,No,No,Yes,Spring,Classroom,Morning,Pistol
Venice High School,B,1,0,-118.44282,33.99881,2006,Los Angeles,California,Handgun,Unknown,21.0,M,Unknown,High School,05/29/1992,,No,No,Yes,No,Spring,Front of School,Unknown,Pistol
Orange High School,H,0,2,-79.09337,36.09233,2006,Hillsborough,North Carolina,"9 Mm Rifle, A Mossburg 12-Gauge Sawed-Off Shotgun",Unknown,19.0,M,Former Student,High School,08/30/2006,2024-05-16 13:00:00,No,No,No,Yes,Summer,Parking Lot,Afternoon,Rifle
South Hills High School,Unknown,0,1,-97.36,32.65726,2006,Fort Worth,Texas,Handgun,Police Issued Weapon,,M,Resource Officer,High School,09/08/2006,2024-05-16 13:20:00,Unknown,Unknown,Unknown,Unknown,Fall,Field (General),Afternoon,Pistol
Platte Canyon High School,W,1,0,-105.64543,39.45566,2006,Bailey,Colorado,".40 S&W Caliber Glock 22 Pistol, Smith & Wesson .357-Caliber Revolver",Unknown,53.0,M,Unknown,High School,09/27/2006,2024-05-16 11:40:00,No,No,No,No,Fall,Classroom,Morning,Pistol
Weston High School,W,1,0,-90.19016,43.48211,2006,Cazenovia,Wisconsin,"Long-Barrel Shotgun, 22-Pistol",Father,15.0,M,Student,High School,09/29/2006,2024-05-16 08:10:00,Yes,No,No,Yes,Fall,Entryway,Morning,Pistol
Memorial Middle School,W,0,0,-94.51586,37.08277,2006,Joplin,Missouri,Mac 90 7.26 Mm Assault Rifle,Parent,13.0,M,Student,Middle School,10/09/2006,2024-05-16 07:45:00,No,No,No,Yes,Fall,Hallway,Morning,Rifle
Henry Foss High School,Unknown,1,0,-122.49364,47.24114,2007,Tacoma,Washington,Handgun,Unknown,18.0,M,Student,High School,01/03/2007,2024-05-16 07:30:00,No,No,No,No,Winter,Hallway,Morning,Pistol
Robert A. Taft Information Technology High School,Unknown,0,0,-84.52183,39.10911,2007,Cincinnati,Ohio,Unknown,Unknown,16.0,M,Student,High School,01/08/2007,2024-05-16 10:45:00,Unknown,No,No,No,Winter,Hallway,Morning,Unknown
William L.Sayre High School,Unknown,0,1,-75.2374,39.95793,2007,Philadelphia,Pennsylvania,9 Mm Semi-Automatic Ruger,Unknown,,M,Unknown,High School,01/18/2007,2024-05-16 08:25:00,No,No,No,No,Winter,Beside Building,Morning,Other
Herbert Henry Dow High School,W,0,1,-84.27414,43.64091,2007,Midland,Michigan,.44 Caliber Handgun,Unknown,17.0,M,Girlfriend Was Student,High School,03/07/2007,2024-05-16 10:57:00,No,Yes,No,No,Spring,Parking Lot,Morning,Pistol
Chicago Vocational Career Academy,Unknown,0,1,-87.57236,41.7372,2007,Chicago,Illinois,9Mm Handgun,Unknown,15.0,M,Student,Other,04/10/2007,2024-05-16 14:15:00,No,No,No,No,Spring,Classroom,Afternoon,Pistol
Springwater Trail High School,Unknown,0,10,-122.40894,45.48655,2007,Gresham,Oregon,.270 Winchester Rifle With Scope,Stepfather,15.0,M,Student,High School,04/10/2007,2024-05-16 14:15:00,No,No,No,Yes,Spring,Classroom; Field,Afternoon,Rifle
Liberty Memorial Middle School,Unknown,0,0,-97.5108,26.1106,2007,Los Fresnos,Texas,.38 Semiautomatic Handgun,Father,14.0,M,Student,Middle School,05/15/2007,2024-05-16 10:02:00,Unknown,No,No,No,Spring,Bathroom,Morning,Pistol
Hamilton High School,Unknown,0,1,-90.0174,35.10069,2008,Memphis,Tennessee,380-Caliber Handgun,Unknown,16.0,M,Student,High School,02/05/1982,,No,No,No,No,Winter,Gym,Unknown,Pistol
Mitchell High School,Unknown,0,1,-90.08589,35.05595,2008,Memphis,Tennessee,.22-Caliber Pistol,Purchased From Someone In Apartment Complex,17.0,M,Student,High School,02/11/2008,2024-05-16 09:00:00,Unknown,No,No,No,Winter,Classroom,Morning,Pistol
Roosevelt High School,Unknown,1,0,-119.7537,36.74302,2008,Fresno,California,Pistol,Department Issued,38.0,M,Resource Officer,High School,04/16/2008,2024-05-16 11:54:00,Unknown,Unknown,Unknown,Unknown,Spring,Outside on School Property,Morning,Pistol
Central High School,Unknown,1,0,-83.9216,36.0392,2008,Knoxville,Tennessee,"Small-Caliber, Semiautomatic Pistol",Unknown,15.0,M,Student,High School,08/21/2008,2024-05-16 08:11:00,Yes,No,No,Yes,Fall,Cafeteria,Morning,Pistol
Dillard High School,B,1,0,-80.176,26.1383,2008,Fort Lauderdale,Florida,.22-Caliber Semi-Automatic Handgun,Family Member,15.0,F,Student,High School,03/28/1981,2024-05-16 21:00:00,No,No,No,No,Spring,Beside Building,Evening,Pistol
John Muir Elementary School,M,0,0,-122.083,37.6566,2009,Hayward,California,Shotgun,Unknown,,H,Unknown,Elementary School,02/20/2009,2024-05-16 12:00:00,No,No,Unknown,No,Winter,Beside Building,Afternoon,Shotgun
Ribault High School,Unknown,0,0,-81.707,30.3895,2009,Jacksonville,Florida,Unknown,Unknown,,Unknown,Unknown,High School,11/07/1997,2024-05-16 08:20:00,No,No,No,No,Fall,Beside Building,Morning,Unknown
Ribault High School,Unknown,0,1,-81.7073,30.3906,2020,Jacksonville,Florida,.380-Caliber Handgun,Unknown,18.0,Unknown,Unknown,High School,11/07/1997,2024-05-16 08:20:00,No,No,No,No,Fall,Beside Building,Morning,Pistol
Larose-Cut Off Middle School,Unknown,0,0,-90.3295,29.5004,2009,Larose,Louisiana,25-Caliber Nickel Plate Semi-Automatic,Father,15.0,M,Student,Middle School,05/18/2009,2024-05-16 09:00:00,Unknown,No,No,No,Spring,Classroom,Morning,Other
Stamford Academy,Unknown,0,0,-73.536464,41.059329,2009,Stamford,Connecticut,.22-Caliber Pistol,Unknown,16.0,M,Student,High,09/08/2009,2024-05-16 08:05:00,No,No,No,No,Fall,Parking Lot,Morning,Pistol
Virginia Randolph Community High School,Unknown,0,0,-77.483135,37.661586,2009,Glen Allen,Virginia,.40-Caliber Handgun,Unknown,16.0,M,Student,High School,09/16/2009,2024-05-16 12:30:00,Unknown,Unknown,No,No,Fall,Playground,Afternoon,Pistol
Mattituck Junior-Senior High School,Unknown,0,1,-72.529205,40.996241,2009,Mattituck,New York,22-Caliber Rifle,Mother,28.0,M,Unknown,High School,10/08/2009,2024-05-16 13:53:00,No,No,No,No,Fall,Classroom,Afternoon,Rifle
Carolina Forest High School,W,1,0,-78.97152,33.780761,2009,Conway,South Carolina,.40 Caliber Glock,Department Issued,,M,School Resource Officer,High School,10/16/2009,2024-05-16 08:25:00,Unknown,Unknown,Unknown,Unknown,Fall,Inside School Building,Morning,Pistol
Booker T. Washington High School,B,0,1,-93.77398,32.503605,2009,Shreveport,Louisiana,Handgun,Unknown,28.0,M,Ex-Boyfriend Of Student,High School,08/31/1984,,No,No,Yes,No,Summer,Football Field/Track,Unknown,Pistol
Discovery Middle School,A,1,0,-86.741148,34.740322,2010,Madison,Alabama,.22-Caliber Pistol,Friend'S Home,14.0,M,Student,Middle School,02/05/2010,2024-05-16 13:45:00,Unknown,No,Unknown,No,Winter,Hallway,Afternoon,Pistol
Deer Creek Middle School,W,0,2,-105.102,39.5869,2010,Littleton,Colorado,Hunting Rifle,Unknown,32.0,M,Unknown,Middle School,02/23/2010,2024-05-16 15:14:00,Unknown,No,No,No,Winter,Front of School,Afternoon,Rifle
Woodrow Wilson High School,B,0,0,-76.381349,36.815009,2010,Portsmouth,Virginia,Handgun,Unknown,15.0,M,Student,High School,04/28/2010,2024-05-16 12:15:00,Yes,No,No,No,Spring,Cafeteria,Afternoon,Pistol
South Gate High School,Unknown,0,1,-118.209757,33.954604,2010,South Gate,California,Unknown,Unknown,15.0,M,Student,High School,05/18/2010,2024-05-16 07:51:00,Unknown,Unknown,Unknown,No,Spring,Beside Building,Morning,Unknown
Sullivan Central High School,Unknown,1,0,-82.387049,36.531336,2010,Blountville,Tennessee,Handgun,Department Issued,,Unknown,Police Officer,High School,08/30/2010,2024-05-16 09:16:00,No,No,No,Unknown,Summer,Hallway,Morning,Pistol
Socastee High School,W,0,1,-79.004328,33.6788,2010,Conway,South Carolina,Revolver,Parent,14.0,M,Student,High School,09/21/2010,2024-05-16 14:00:00,Yes,No,No,Yes,Fall,Office,Afternoon,Pistol
Alisal High School,Unknown,1,0,-121.595961,36.686184,2010,Salinas,California,Unknown,Unknown,,M,Unknown,High School,10/01/2010,2024-05-16 07:53:00,Unknown,No,Yes,No,Fall,Beside Building,Morning,Unknown
Kelly Elementary School,W,0,2,-117.311227,33.14836,2010,Carlsbad,California,.357-Caliber Magnum Revolver,Unknown,41.0,M,None,Elementary School,10/08/2010,2024-05-16 12:00:00,No,No,No,No,Fall,Playground,Afternoon,Pistol
Marinette High School,W,0,0,-87.629512,45.084351,2010,Marinette,Wisconsin,Handgun,Unknown,15.0,M,Student,High School,11/29/2010,2024-05-16 19:30:00,No,No,No,No,Fall,Classroom,Evening,Pistol
Millard South High School,B,1,2,-96.146049,41.203481,2011,Omaha,Nebraska,Glock .40-Caliber S&W Pistol,Father,17.0,M,Student,High School,01/05/2011,2024-05-16 12:45:00,No,No,No,No,Winter,Office,Afternoon,Pistol
Louisiana Schnell Elementary School,W,1,0,-120.779419,38.735106,2011,Placerville,California,.357-Caliber Revolver,Legally Purchased By Shooter,44.0,M,Janitor,Elementary School,02/02/2011,2024-05-16 10:37:00,No,No,No,No,Winter,Office,Morning,Pistol
Sheeler Charter High School,B,0,1,-81.494124,28.673157,2011,Apopka,Florida,Unknown,Unknown,17.0,M,Unknown,High School,04/13/2011,2024-05-16 12:00:00,No,No,No,No,Spring,Parking Lot,Afternoon,Unknown
Cape Fear High School,Unknown,0,1,-78.762384,35.034044,2011,Fayetteville,North Carolina,.22-Caliber Daisy Rifle,Unknown,15.0,M,Student,High School,10/24/2011,2024-05-16 13:00:00,No,No,No,No,Fall,Beside Building,Afternoon,Rifle
Cummings Middle School,Unknown,1,0,-97.493734,25.913899,2012,Brownsville,Texas,Unknown,Department Issued,,M,Police Officer,Middle School,01/04/2012,2024-05-16 08:00:00,Unknown,Unknown,Unknown,Unknown,Winter,Hallway,Morning,Unknown
North Forest High School,Unknown,0,1,-95.26259,29.868788,2012,Houston,Texas,Handgun,Unknown,18.0,M,Student,High School,11/25/2008,2024-05-16 21:45:00,No,No,No,No,Fall,Beside Building,Evening,Pistol
North Forest High School,Unknown,0,1,-95.259744,29.867029,2021,Houston,Texas,Unknown,Unknown,,Unknown,Unknown,High School,11/25/2008,2024-05-16 21:45:00,No,No,No,No,Fall,Beside Building,Evening,Unknown
Walpole Elementary School,Unknown,0,0,-72.426439,43.078915,2012,Walpole,New Hampshire,20-Gauge Shotgun,Unknown,14.0,M,Student,Elementary School,02/10/2012,2024-05-16 11:00:00,Unknown,No,No,No,Winter,Cafeteria,Morning,Shotgun
Armin Jahr Elementary School,W,0,1,-122.63622,47.593761,2012,Bremerton,Washington,.45 Caliber Handgun,Mother,9.0,M,Student,Elementary School,02/22/2012,2024-05-16 13:30:00,Yes,No,No,No,Winter,Hallway,Afternoon,Pistol
Chardon High School,W,3,3,-81.199958,41.591297,2012,Chardon,Ohio,Ruger Mk Iii .22 Caliber Semi-Automatic Handgun,Uncle,17.0,M,"Student At Neighboring School, Rode Bus With Some Victims",High School,02/27/2012,2024-05-16 07:30:00,No,No,No,Yes,Winter,Cafeteria,Morning,Pistol
Mary Scroggs Elementary School,Unknown,1,0,-79.068506,35.879122,2012,Chapel Hill,North Carolina,Charter Arms .44 Bulldog Revolver,Unknown,49.0,M,Parent Of Students,Elementary School,05/25/2012,2024-05-16 14:04:00,No,Yes,No,No,Spring,Parking Lot,Afternoon,Pistol
Normal Community High School,W,0,0,-88.914486,40.533285,2012,Normal,Illinois,.22-Caliber Ruger Pistol,Unknown,14.0,M,Student,High School,09/07/2012,2024-05-16 08:00:00,Yes,No,No,Yes,Fall,Classroom,Morning,Pistol
