School,Type,Date,City,State,Time
Cardozo Senior High School,High,1995-01-05,Washington,DC,12:30 PM
Palm Beach Gardens High School,High,1995-01-10,Palm Beach Gardens,FL,10:30 AM
Garfield High School,High,1995-01-12,Seattle,WA,
Sacred Heart Middle School,Middle,1995-01-23,Redlands,CA,
Spingarn High School,High,1995-01-24,Washington,DC,12:00 PM
Jordan High School,High,1995-02-02,Long Beach,CA,
Chadron Middle School,Middle,1995-02-08,Scottsbluff,NE,
Pershing High School,High,1995-03-03,Detroit,MI,2:00 PM
Redford High School,High,1995-03-27,Detroit,MI,10:00 AM
Lake Worth High School,High,1995-06-14,Lake Worth,FL,12:30 PM
Memorial Middle School,Middle,1995-08-29,Laredo,TX,4:15 PM
Cypress Junior High School,Junior High,1995-09-12,Memphis,TN,8:30 AM
Olathe North High School,High,1995-09-14,Olathe,KS,
George Rogers Clark High School,High,1995-09-15,Winchester,KY,
Blount High School,High,1995-09-27,Prichard,AL,11:00 AM
Tavares Middle School,Middle,1995-09-29,Tavares,FL,
Blackville-Hilda High School,High,1995-10-12,Blackville,SC,8:40 AM
Lake Howell High School,High,1995-10-23,Casselberry,FL,7:55 AM
John F. Kennedy High School,High,1995-10-30,Richmond,VA,2:05 PM
Blue Lake Elementary School (bus),Elementary,1995-11-02,Miami Beach,FL,8:15 AM
Richland High School,High,1995-11-15,Lynnville,TN,
Thomas A. Edison Vocational and Technical High School,High,1995-11-28,New York,NY,11:30 AM
Girard High School,High,1996-01-02,Girard,PA,
Winston Education Center,K-8,1996-01-19,Washington,DC,
East High School,High,1996-01-26,Memphis,TN,9:45 PM
Frontier Middle School,Middle,1996-02-02,Moses Lake,WA,
Mid-Peninsula High School,High,1996-02-08,Menlo Park,CA,11:00 AM
Jenkins High School,High,1996-02-22,Savannah,GA,
Beaumont High School (bus),High,1996-02-29,St. Louis,MO,7:00 AM
North Stanley High School,High,1996-03-11,New Longdon,NC,
Swainston Middle School,Middle,1996-03-19,Las Vegas,NV,11:30 AM
Talladega High School,High,1996-04-11,Talladega,AL,
McKinley High School,High,1996-04-15,Washington,DC,
Bingham Middle School,High,1996-05-14,Taylorsville,UT,
Colton High School,High,1996-05-22,Colton,CA,2:20 PM
West Valley High School,High,1996-06-04,Hemet,CA,
John Marshall High School,High,1996-07-26,Los Angeles,CA,2:00 PM
Dekalb Alternative School,Unknown,1996-09-25,Decatur,GA,
Smedley Elementary School,Elementary,1996-10-02,Philadelphia,PA,
St. Bernard High School,High,1996-10-04,Playa Del Rey,CA,10:00 PM
Jacksonville High School bus,High,1996-10-09,Sherwood,AR,
Sumner High School,High,1996-10-14,St. Louis,MO,
Highlands High School,High,1996-11-27,Sacramento,CA,
Crown Heights High School,High,1997-01-08,New York,NY,1:15 PM
Conniston Middle School,Middle,1997-01-27,West Palm Beach,FL,8:40 AM
Wingfield High School,High,1997-02-06,Jackson,MS,8:30 AM
Morris High School,High,1997-02-13,Bronx,NY,
Samuel Gompers High School,High,1997-02-13,Bronx,NY,
Bethel Regional High School,High,1997-02-19,Bethel,AK,8:45 AM
First Coast High School,High,1997-02-20,Jacksonville,FL,
Rancho High School,High,1997-02-21,Las Vegas,NV,1:00 PM
Pershing High School,High,1997-03-17,Detroit,MI,2:45 PM
Maria Del Rey Junior High School,High,1997-04-03,Mar Vista,CA,
John Marshall High School,High,1997-04-28,Los Angeles,CA,
City-as-School High School,High,1997-04-30,New York,NY,12:30 PM
Northwestern High School,High,1997-05-13,Miami,FL,8:30 AM
Dunbar High School,High,1997-05-20,Dayton,OH,
Jefferson Davis High School,High,1997-06-24,Montgomery,AL,12:43 PM
Pearl High School,High,1997-10-01,Pearl,MS,
Moore West Junior High School,Junior High,1997-10-05,Oklahoma City,OK,2:55 PM
Wallace High School,High,1997-10-10,Gary,IN,
Lakeview Centennial High School,High,1997-10-14,Garland,TX,
Lincoln Middle School,Middle,1997-10-15,Palmetto,FL,
McClymonds High School,High,1997-10-20,Oakland,CA,8:00 PM
John Glenn High School,High,1997-10-22,Norwalk,CA,7:45 AM
Ribault High School,High,1997-11-07,Jacksonville,FL,8:20 AM
Creekside Elementary School,Elementary,1997-11-13,Sacramento,CA,
Heath High School,High,1997-12-01,West Paducah,KY,7:45 AM
Stamps High School,High,1997-12-15,Stamps,AR,
Hoboken High School,High,1998-02-12,Hoboken,NJ,3:10 PM
Reed City High School,High,1998-02-25,Reed City,MI,8:00 AM
Marshall High School,High,1998-02-27,Fairfax,VA,12:20 PM
Westside Middle School,Middle,1998-03-24,Jonesboro,AR,12:41 PM
Coldwater High School,High,1998-03-25,Coldwater,MI,8:00 AM
Fernando Rivera Middle School,Middle,1998-03-25,Daly City,CA,8:15 AM
Grey Culbreth Middle School,Middle,1998-03-30,Chapel Hill,NC,11:00 AM
Oakfield Middle School,Middle,1998-03-31,Oakfield,WI,
Culver City High School,High,1998-04-23,Los Angeles,CA,2:00 PM
Parker Middle School,Middle,1998-04-24,Edinboro,PA,10:00 PM
Pardeeville Elementary School,Elementary,1998-04-28,Pardeeville,WI,9:00 PM
Philadelphia Elementary School,Elementary,1998-04-28,Pomona,CA,
North Miami Senior High School,High,1998-05-01,Miami,FL,
Public School 18,Elementary,1998-05-01,Buffalo,NY,9:20 AM
Lincoln County High School,High,1998-05-19,Fayetteville,TN,2:00 PM
Onalaska High School,High,1998-05-21,Onalaska,WA,
Rialta High School,High,1998-05-21,Rialto,CA,
Thurston High School,High,1998-05-21,Springfield,OR,7:50 AM
Washington Middle School,Middle,1998-05-27,Pasadena,CA,6:15 PM
Stranahan High School,High,1998-05-29,Ft. Lauderdale,FL,7:32 AM
Armstrong High School,High,1998-06-15,Richmond,VA,10:00 AM
Herbert Hoover High School,High,1998-09-11,Glendale,CA,
Leesburg High School,High,1998-09-30,Leesburg,FL,
North Miami High School,High,1998-09-30,Miami,FL,12:32 PM
Martin Luther King High School,High,1998-11-03,Philadelphia,PA,1:45 PM
Hancock Middle High School,Middle,1998-11-30,Hancock,NY,9:20 AM
Ernie Elementary School,Elementary,1998-12-03,Gary,IN,
Ben Davis Junior High School,Junior High,1998-12-11,Indianapolis,IN,
Central High School,High,1999-01-08,Carrollton,GA,
Harry S. Truman High School,High,1999-01-14,New York,NY,9:00 AM
Richland High School,High,1999-01-21,North Richland Hills,TX,
Jefferson-Todd Educational Center,Other,1999-02-11,Purvis,MS,
Ombudsman Educational Service Center,High,1999-02-11,Elgin,IL,12:30 PM
Niles West High School,High,1999-03-04,Skokie,IL,10:00 PM
Notus Jr. Sr. High School,6-12,1999-04-16,Notus,ID,
Columbine High School,High,1999-04-20,Littleton,CO,11:19 AM
Martin Luther King Jr. Middle School,Middle,1999-04-22,Atlanta,GA,9:45 PM
Scotlandville Middle School,Middle,1999-04-22,Baton Rouge,LA,12:30 PM
Heritage High School,High,1999-05-20,Conyers,GA,8:03 AM
Jasper County High School,High,1999-08-25,Monticello,GA,
Santa Teresa High School,High,1999-09-09,San Jose,CA,8:30 AM
Egypt Lake Elementary School,Elementary,1999-09-27,Tampa,FL,7:30 AM
John Bartram High School,High,1999-10-04,Philadelphia City,SD,10:00 AM
Clark High School,High,1999-10-11,Las Vegas,NV,2:40 PM
San Fernando High School,High,1999-10-21,Pacoima,CA,2:40 PM
Guyan Valley High School,High,1999-10-26,Branchland,WV,6:10 AM
Martin Luther King High School,High,1999-10-26,Philadelphia,PA,1:30 PM
Dickinson High School,High,1999-11-17,Dickinson,TX,8:00 AM
Deming Middle School,Middle,1999-11-19,Deming,NM,12:45 PM
Fort Gibson Middle School,Middle,1999-12-06,Fort Gibson,OK,7:45 AM
Bartlett High School,High,2000-01-10,Anchorage,AK,
Albuquerque High School,High,2000-01-13,Albuquerque,NM,12:30 PM
Ridgewood High School,High,2000-01-19,New Port Richey,FL,3:00 PM
Erwin High School,High,2000-01-20,Asheville,NC,
Alicia Reyes Elementary School,Elementary,2000-01-26,Merced,CA,8:34 AM
South High School,High,2000-01-26,Omaha,NE,
Penn Wood East Junior High School,Junior High,2000-02-10,Yeadon,PA,2:15 PM
Duke Ellington Elementary School,Elementary,2000-02-14,Chicago,IL,3:00 PM
Buell Elementary School,Elementary,2000-02-29,Flint,MI,10:00:00
Beach High School,High,2000-03-10,Savannah,GA,11:15 PM
McKinley Elementary School,Elementary,2000-03-23,Lisbon,OH,8:45 AM
Hugo High School,High,2000-04-06,Hugo,OK,12:00 PM
La Cima Middle School,Middle,2000-04-10,Tucson,AZ,
Thomas Jefferson High School,High,2000-05-02,Denver,CO,
Carmichael Elementary School,Elementary,2000-05-10,Sierra Vista,AZ,1:30 PM
Lake Worth Middle School,Middle,2000-05-26,Lake Worth,FL,3:00 PM
Dimmitt Middle School,Middle,2000-07-17,Renton,WA,10:30 AM
Timken Senior High School,High,2000-07-26,Canton,OH,
Bidwell Porter Elementary School,Elementary,2000-09-05,Bidwell,OH,6:30 AM
Longfellow Elementary School,Elementary,2000-09-07,Rock Island,IL,6:58 PM
Mount Healthy North Junior High,Junior High,2000-09-18,Mount Healthy,OH,
Carter G. Woodson Middle School,Middle,2000-09-26,New Orleans,LA,12:00 PM
Minneapolis North High School,High,2000-10-05,Minneapolis,MN,11:00 PM
Pioneer Elementary School,Elementary,2000-10-24,Glendale,AZ,11:15 AM
Newman Smith High School,High,2000-11-01,Carrollton,TX,8:15 AM
Granada Hills High School,High,2000-12-01,Los Angeles,CA,7:00 AM
Junipero Serra High School,High,2000-12-01,San Diego,CA,
Richmond High School,High,2000-12-07,Richmond,CA,12:45 PM
Norland Elementary School,Elementary,2000-12-21,Miami,FL,3:45 PM
Balboa High School,High,2001-01-03,San Francisco,CA,9:30 AM
Hueneme High School,High,2001-01-10,Oxnard,CA,12:50 PM
Lake Clifton Eastern High School,High,2001-01-17,Baltimore,MD,8:45 AM
Osborn High School,High,2001-02-02,Detroit,MI,
Hoover High School,High,2001-03-02,San Diego,CA,
Santana High School,High,2001-03-05,Santee,CA,9:20 AM
Largo High School,High,2001-03-06,Largo,MD,5:00 PM
Bishop Neumann High School,High,2001-03-07,Williamsport,PA,12:00 PM
Kentwood High School,High,2001-03-07,Covington,WA,
Granite Hills High School,High,2001-03-22,El Cajon,CA,12:54 PM
Lew Wallace High School,High,2001-03-30,Gary,IN,8:15 AM
Kleb Intermediate School,High,2001-04-02,Houston,TX,10:30 AM
Wahluke High School,High,2001-04-10,Mattawa,WA,
Monroe City Alternative Center,High,2001-04-20,Monroe,LA,7:20 AM
John Marshall High School,High,2001-04-25,Cleveland,OH,11:00 PM
Ennis High School,High,2001-05-15,Ennis,TX,12:00 PM
Ousley Junior High School,High,2001-06-07,Arlington,TX,6:10 PM
Belmont High School,High,2001-07-30,Los Angeles,CA,7:25 AM
Latonia Elementary School,Elementary,2001-09-12,Covington,KY,3:00 PM
Lake Clifton Eastern High School,High,2001-09-21,Baltimore,MD,1:00 PM
Taylorsville High School,High,2001-10-12,Taylorsville,UT,
Benito Juarez Academy,High,2001-10-26,Siginaw,MI,1:45 PM
Redondo Union High School,High,2001-10-26,Redondo Beach,CA,10:00 AM
Caro Learning Center,High,2001-11-12,Caro,MI,2:40 PM
Friendswood Junior High School,High,2001-11-30,Friendswood,TX,6:00 AM
Raymond High School,High,2002-01-11,Jackson,MS,12:00 PM
"Martin Luther King, Jr. High School",High,2002-01-15,New York,NY,2:00 PM
Oley High School (bus),High,2002-01-24,Oley,PA,
Brock High School,High,2002-02-01,Brock,TX,
Gardena High School,High,2002-02-06,Los Angeles,CA,2:50 PM
Roosevelt High School,High,2002-02-07,Chicago,IL,2:50 PM
John Barrett Middle School,Middle,2002-03-22,Carmichael,CA,
Leith Walk Elementary School,Elementary,2002-04-06,Baltimore,MD,1:00 AM
Abramson High School,High,2002-04-26,New Orleans,LA,9:45 PM
C M Russell HIgh School,High,2002-10-04,Great Falls,MT,3:30 PM
Page Middle School,High,2002-10-04,San Antonio,TX,8:15 AM
Benjamin Tasker Middle School,Middle,2002-10-07,Bowie,MD,8:09 AM
Lincoln High School,High,2002-10-29,Jersey City,NJ,8:30 AM
St. James Catholic School,K-8,2002-11-07,Liberty,MO,12:40 PM
Ambler Avenue Elementary School,Elementary,2002-11-15,Los Angeles,CA,5:30 PM
Scurry-Rosser High School,High,2002-11-15,Scurry,TX,8:30 AM
Osborn High School,High,2002-12-02,Detroit,MI,10:00 AM
Wind River Middle School,Middle,2002-12-12,Carson,WA,4:40 PM
Englewood High School,High,2002-12-16,Chicago,IL,3:00 PM
West Carter Middle School,Middle,2003-01-21,Olive Hill,KY,11:00 AM
Jenks High School,High,2003-01-30,Jenks,OK,3:00 PM
Ranum High School,High,2003-02-05,Westminster,CO,8:40 AM
Clayton Ridge High School,High,2003-03-18,Guttenberg,IA,
Northeast High School,High,2003-03-21,Meridian,MS,8:00 AM
Rolling Hills Middle School,High,2003-03-30,Watsonville,CA,6:40 PM
Cardozo High School,High,2003-04-01,Washington,DC,12:15 PM
Walnut High School,High,2003-04-10,Walnut,CA,12:10:00
Fair Park High School,High,2003-04-14,Shereveport,LA,10:30 AM
John McDonogh High School,High,2003-04-14,New Orleans,LA,10:15 AM
Greenhill Middle School,Middle,2003-04-16,Addison,TX,3:10 PM
Red Lion Area Junior High School,Junior High,2003-04-24,Red Lion,PA,7:34 AM
Forest Hills High School,High,2003-05-13,Johnstown,PA,
Rock L. Butler Middle School,Middle,2003-06-04,Wellsboro,PA,8:17 AM
Vicksburg High School,High,2003-09-10,Vicksburg,MS,2:30 PM
Charlestown High School,K-12,2003-09-17,Boston,MA,2:00 PM
Oklahoma Road Middle School,Middle,2003-09-17,Eldersburg,MD,10:00 AM
Lewis and Clark High School,High,2003-09-22,Spokane,WA,11:10 AM
Rocori High School,High,2003-09-24,Cold Spring,MN,11:38 AM
Burns Middle School,Middle,2003-09-25,Lawndale,NC,8:00 AM
Rio Cazadero High School,High,2003-10-01,Sacramento,CA,9:00 AM
Kenmore High School,High,2003-10-07,Akron,OH,
Marion High School,High,2003-10-29,Marion,LA,7:55 AM
Anacostia High School,High,2003-10-30,Washington,DC,3:15 PM
Hightower High School,High,2003-11-08,Sugarland,TX,9:20 PM
East Mecklenburg High School,High,2003-11-13,Charlotte,NC,11:45 AM
Fermi Elementary School,Elementary,2003-12-02,Chicago,IL,9:40 PM
Douglas High School,High,2003-12-04,Oklahoma City,OK,2:10 PM
Carbondale Community High School,High,2003-12-05,Carbondale,IL,
Old Mill High School,High,2003-12-17,Millersville,MD,
Colonia High School,High,2003-12-22,Woodbridge,NJ,10:00 PM
Abess Park Elementary School,Elementary,2003-12-29,East Arlington,FL,4:00 AM
Pomona High School,High,2004-01-15,Pomona,CA,
Fay Galloway Elementary School,Elementary,2004-01-21,Henderson,NV,4:50 PM
Ballou Senior High School,High,2004-02-02,Washington,DC,10:30 AM
Youens Elementary School,Elementary,2004-02-03,Houston,TX,10:30 AM
Fair Park High School,High,2004-02-06,Shreveport,LA,
Columbia High School,High,2004-02-09,East Greenbush,NY,10:30 AM
T M Peirce Elementary School,Elementary,2004-02-11,Philadelphia,PA,8:30 AM
Colonel White High School,High,2004-02-13,Dayton,OH,1:00 PM
Gathway Christian Academy,K-12,2004-02-20,St. Martinville,LA,11:15 AM
Saledad Enrichment Action Charter High School,High,2004-03-05,Los Angeles,CA,7:35 AM
Crescent Junior-Senior High School,Junior High,2004-03-17,Joyce,WA,10:00 AM
Kashmere High School,High,2004-05-04,Houston,TX,8:00 AM
Randallstown High School,High,2004-05-07,Randallstown,MD,4:30 PM
East Campus Educational Center,K-12,2004-05-12,Merced,CA,5:25 PM
West High School,High,2004-05-24,Salt Lake City,UT,6:00 AM
Castlemont High School,High,2004-06-09,Oakland,CA,12:22 PM
Huffman High School,High,2004-08-03,Birmingham,AL,8:45 AM
Hamilton High School,High,2004-08-24,Memphis,TN,
Proviso East High School,High,2004-08-30,Maywood,IL,2:30 PM
Booker T. Washington High School,High,2004-09-12,New Orleans,LA,12:00 PM
Wirt High School,High,2004-09-15,Gary,IN,
Jefferson Elementary School,Elementary,2004-10-02,Grand Island,NE,6:30 AM
Newburyport High School,High,2004-10-07,Newburyport,MA,11:00 PM
Lakewood Elementary School,Elementary,2004-10-12,Sunnyvale,CA,
Biggs High School,High,2004-10-15,Biggs,CA,8:43 PM
Thurgood Marshall High School,High,2004-10-21,Baltimore,MD,4:00 PM
Tyrrell Elementary School,Elementary,2004-10-22,Hayward,CA,9:55 PM
Brunswick Elementary School,Elementary,2004-11-15,Gary,IN,
Parker High School,High,2004-11-15,Birmingham,AL,9:00 PM
Battery Creek High School,High,2004-11-16,Beaufort,SC,6:30 PM
Apopka Memorial Middle School,Middle,2004-11-17,Apopka,FL,
Terry Parker High School,High,2004-11-19,Jacksonville,FL,6:45 AM
Lakeside High School,High,2004-12-09,Spokane,WA,1:20 PM
La Grange High School,High,2004-12-13,Lake Charles,LA,12:30 PM
Richmond State School,Other,2004-12-31,Richmond,TX,6:00 PM
Murrell Dobbins Vocational-Technical High School,High,2005-01-05,North Philadelphia,PA,2:48 PM
Woodruff High School,High,2005-01-26,Peoria,IL,
McNair High School,High,2005-02-04,Atlanta,GA,
Bowen High School,High,2005-02-08,Chicago,IL,2:32 PM
Stewart County High School (bus),High,2005-03-02,Dover,TN,6:15 AM
Maplewood Comprehensive High School,High,2005-03-09,Nashville,TN,2:00 PM
Zaragoza Elementary School,Elementary,2005-03-10,Dallas,TX,6:30 PM
Leawood Elementary School,Elementary,2005-03-14,Columbus,OH,9:00 AM
Carrick High School,High,2005-03-16,Pittsburgh,PA,1:58 PM
Locke High School,High,2005-03-17,Los Angeles,CA,3:00 PM
O Perry Walker High School,High,2005-03-17,Algiers,LA,
New Utrecht High School,High,2005-03-21,Brooklyn,NY,12:00 PM
Red Lake Senior High School,High,2005-03-21,Red Lake,MN,2:49 PM
Fairly High School,High,2005-03-24,Memphis,TN,
East High School,High,2005-03-30,Memphis,TN,11:00 AM
Canton High School,High,2005-04-07,Canton,TX,9:15 AM
Leon Godchaux Junior High School,High,2005-04-27,Reserve,LA,10:00 AM
Daniel E. Morgan Elementary School,High,2005-04-29,Cleveland,OH,
Berkner High School,High,2005-05-14,Richardson,TX,7:30 PM
Highland Elementary School,Elementary,2005-05-17,Lower Allen Township,PA,3:00 PM
Locust Elementary School,Elementary,2005-05-20,Marengo,IL,3:00 PM
Academia Ana Marie Sandoval Montessori School,Other,2005-05-24,Denver,CO,1:00 PM
Booker T. Washington High School,High,2005-05-24,Shreveport,LA,1:55 PM
Arlington High School,High,2005-06-08,Poughkeepsi,NY,2:32 PM
Bangs Avenue Elementary School,Elementary,2005-06-12,Asbury Park,NJ,9:30 PM
Weequahic High School,High,2005-07-18,Newark,NJ,1:30 PM
Country Day High School,High,2005-08-16,Estate Concordia,VI,7:30 AM
Planatation Elementary School,Elementary,2005-08-17,Bakersfield,CA,6:00 PM
Morrow High School,High,2005-08-19,Morrow,GA,11:00 AM
Maury Middle School,Middle,2005-08-25,Dandridge,TN,9:30 AM
Dimond High School,High,2005-09-01,Anchorage,AK,5:00 PM
Sojourner Truth High School,High,2005-09-02,Jacksonville,FL,12:50 PM
Harlan Community Academy High School,High,2005-09-13,Chicago,IL,2:20 PM
Saginaw High School,High,2005-09-24,Saginaw,MI,11:30 PM
Farmington High School,High,2005-10-11,Farmington,MI,8:00 AM
Samula Tilden High School,High,2005-10-14,New York,NY,9:15 AM
San Gorgonio High School,High,2005-10-19,San Bernardino,CA,7:40 AM
Saginaw High School,High,2005-10-20,Saginaw,MI,12:00 PM
Birney Elementary School,Elementary,2005-10-27,Fresno,CA,
Annapolis High School,High,2005-10-28,Annapolis,MD,8:30 PM
Farmingdale High School,High,2005-10-28,Farmingdale,NY,7:45 PM
Campbell County High School,High,2005-11-08,"Jacksboro, TN",TN,14:00:00
Parkway Academy Charter High School (bus),High,2005-11-15,Miramar,FL,7:45 AM
Irving Middle School,Middle,2005-11-16,San Antonio,TX,
Boston Day and Evening Academy (High School),High,2005-12-05,Roxbury,MA,2:20 PM
Central High School,High,2005-12-06,Detroit,MI,1:30 PM
Santiago High School,High,2005-12-06,Garden Grove,CA,3:00 PM
Lincoln High School,High,2006-01-03,Jersey City,NJ,3:20 PM
Mount Pleasant High School,High,2006-01-10,Wilmington,DE,
Mary McLeod Bethune Academy,K-8,2006-01-11,Milwaukee,WI,12:30 PM
Milwee Middle School,Middle,2006-01-13,Longwood,FL,9:30 AM
Osborn High School,High,2006-01-13,Detroit,MI,12:00 PM
Pinson Valley High School,High,2006-01-13,Pinson,AL,10:58 PM
Fred Moodry Middle School,Middle,2006-01-18,Anaconda,MT,
Indian River High School,High,2006-01-18,Chesapeake,VA,11:00 AM
Passmore Elementary School,Elementary,2006-01-18,Alvin,TX,11:55 AM
Withrow High School,High,2006-01-19,Cincinnati,OH,8:00 PM
Will C. Wood High School,High,2006-01-23,Vacaville,CA,9:45 AM
Lakeview Centennial High School,High,2006-01-27,Garland,TX,
C M Russell High School,High,2006-01-30,Great Falls,MT,8:00 AM
Longfellow Elementary School (bus),Elementary,2006-02-03,Compton,CA,8:20 AM
William Penn High School,High,2006-02-09,New Castle,DE,8:50 PM
West York Area High School,High,2006-02-15,York,PA,
Westinghouse High School,High,2006-02-21,Pittsburgh,PA,7:45 AM
Roseburg High School,High,2006-02-23,Roseburg,OR,7:45 AM
I S 89 Middle School,Middle,2006-03-10,New York,NY,8:20 AM
Pine Middle School,Middle,2006-03-14,Reno,NV,9:00 AM
Roosevelt Senior High School,High,2006-04-05,Washington,DC,9:15 AM
Westbury High School (bus),High,2006-04-18,Houston,TX,5:00 PM
East Chapel Hill High School,High,2006-04-24,Chapel Hill,NC,5:00 PM
Parkway Academy,High,2006-05-05,Miramar,FL,11:35 PM
Butch Fork High School,High,2006-05-22,Irmo,SC,10:00 AM
Northampton Area Senior High School,High,2006-05-25,Northampton,PA,7:50 AM
Venice High School,High,2006-06-05,Los Angeles,CA,3:10 PM
Wirt High School,High,2006-06-06,Gary,IN,
Pershing High School,High,2006-06-15,Detroit,MI,6:05 PM
Young Middle Magnet School,Middle,2006-07-31,Tampa,FL,6:20 AM
J T Alton Middle School,Middle,2006-08-15,Vine Grove,KY,
Mendez Middle School,Middle,2006-08-17,Austin,TX,8:00 PM
South High School,High,2006-08-19,Youngstown,OH,3:45 PM
Lyman Hall Elementary School,High,2006-08-20,Hinesville,GA,7:30 PM
Castle High School,High,2006-08-21,Newburgh,IN,
Essex Elementary School,Elementary,2006-08-24,Essex Junction,VT,
Anacostia Senior High School,High,2006-08-29,Washington,DC,3:15 PM
Orange High School,High,2006-08-30,Hillsborough,NC,1:00 PM
Oxford High School,High,2006-08-31,Oxford,AL,9:40 PM
Kingsbury Middle School,Middle,2006-09-05,Memphis,TN,
South Hills High School,High,2006-09-08,Fort Worth,TX,1:20 PM
Westminster Christian Academy,High,2006-09-13,Creve Coeur,MO,
Cardozo High School,High,2006-09-21,Washington,DC,12:15 PM
Platte Canyon High School,High,2006-09-27,Bailey,CO,11:40:00
Weston High School,High,2006-09-29,Cazenovia,WI,8:10 AM
West Nickel Mines School,K-12,2006-10-02,Nickel Mines,PA,11:07 AM
Memorial Middle School,Middle,2006-10-09,Joplin,MO,7:45 AM
Ponoma Middle School ,Middle,2006-10-10,Pomona,NY,4:00 PM
Grove Park Elementary School,Elementary,2006-10-12,Baltimore,MD,
Seven Lakes High School,High,2006-10-17,Katy,TX,11:55 AM
Halls High School,High,2006-10-31,Knoxville,TN,10:30 PM
Lionel Wilson College Prep School,High,2006-11-11,Oakland,CA,11:00 PM
Sammye E. Coan Middle School,Middle,2006-11-22,Atlanta,GA,5:40 PM
Jones Senior High School,High,2006-12-01,Trenton,NC,10:20 PM
Northwest High School,High,2006-12-07,Omaha,NE,
Clemente High School,High,2006-12-11,Chicago,IL,2:45 PM
Springfield Township High School,High,2006-12-12,Springfield Township,PA,9:00 AM
Bangor Area High School,High,2006-12-13,Bangor,PA,2:30 PM
McGuffey High School,High,2006-12-14,Claysville,PA,5:00 PM
Westover High School,High,2007-01-02,Fayetteville,NC,3:01 PM
Henry Foss High School,High,2007-01-03,Tacoma,WA,7:30 AM
Northwestern High School,High,2007-01-04,Detroit,MI,
Robert A. Taft Information Technology High School,High,2007-01-08,Cincinnati,OH,10:45 AM
Grant High School,High,2007-01-09,Van Nuys,CA,3:15 PM
Western High School,High,2007-01-09,Las Vegas,NV,6:30 AM
William L.Sayre High School,High,2007-01-18,Philadelphia,PA,8:25 AM
Harbin County High School,High,2007-01-24,Savannah,TN,8:00 AM
Hillcrest High School,High,2007-01-31,Country Club Hills,IL,9:30 PM
Paxon Middle School,Middle,2007-02-07,Jacksonville,FL,
Crook County High School,High,2007-02-08,Prineville,OR,2:33 PM
Stephen F. Austin Middle School,Middle,2007-02-08,Port Arthur,TX,
Slauson Middle School,Middle,2007-02-26,Azusa,CA,
Clifton Elementary School,Elementary,2007-02-27,Atlanta,GA,
Centennial High School,High,2007-03-07,Compton,CA,2:30 PM
Greenville High School,High,2007-03-07,Greenville,TX,7:15 AM
Herbert Henry Dow High School,High,2007-03-07,Midland,MI,10:57 AM
East Ridge High School,High,2007-03-08,Chattanooga,TN,2:20 PM
Union Park Elementary School,Elementary,2007-03-23,Orlando,FL,3:00 PM
Sarah J. Rawson Elementary School,Elementary,2007-03-27,Hartford,CT,6:30 PM
Myrtle Beach High School,High,2007-03-29,Myrtle Beach,SC,
Chicago Vocational Career Academy,Other,2007-04-10,Chicago,IL,2:15 PM
Springwater Trail High School,High,2007-04-10,Gresham,OR,2:15 PM
North Mecklenburg High School,High,2007-04-18,Huntersville,NC,
Gettysburg Elementary School,Elementary,2007-05-03,Dayton,OH,9:45 AM
Tidehaven High School,High,2007-05-04,El Maton,TX,8:33 AM
Henry Ford High School,High,2007-05-10,Detroit,MI,
West Mesquite High School,High,2007-05-12,Mesquite,TX,
Liberty Memorial Middle School,Middle,2007-05-15,Los Fresnos,TX,10:02 AM
Oak Haven Elementary School,Elementary,2007-05-23,Coventry,RI,4:53 PM
Vandora Springs Elementary School,Elementary,2007-05-30,Garner,NC,
North Garner Middle School,Middle,2007-05-31,Garner,NC,
Broad River Elementary School,Elementary,2007-06-17,Burton,SC,
David W. Carter High School,High,2007-06-28,Dallas,TX,12:00 PM
Carter G. Woodson Elementary School,Elementary,2007-07-09,Chicago,IL,1:40 PM
Mount Vernon Elementary School,High,2007-08-04,Newark,NJ,
Las Plumas High School,High,2007-09-28,Oroville,CA,9:15 AM
S Simon and Jude Catholic School,K-8,2007-09-30,Phoenix,AZ,9:37 PM
Platt High School,High,2007-10-01,Meriden,CT,1:50 PM
SuccessTech Academy,Other,2007-10-10,Cleveland,OH,1:15 PM
Manassas High School,High,2007-10-24,Memphis,TN,8:45 AM
John Curtis Christian School,K-12,2007-11-05,River Ridge,LA,
Holland Patent Central High School,High,2007-11-26,Holland Patent,NY,11:00 AM
Barnard-White Middle School,Middle,2007-12-21,Union City,CA,3:20 PM
Hamilton High School,High,2008-02-04,Memphis,TN,10:00 AM
Mitchell High School,High,2008-02-11,Memphis,TN,9:00 AM
E O Green Junior High School,Junior High,2008-02-12,Oxnard,CA,08:15:00
Davidson High School,High,2008-03-06,Mobile,AL,10:00 AM
Roosevelt High School,High,2008-04-16,Fresno,CA,11:54 AM
Madison Parish High School,High,2008-05-16,Tallulah,LA,
Wallace Elementary School,Elementary,2008-08-11,Kelso,WA,
Lakota Middle School,Middle,2008-08-14,Federal Way,WA,8:20 PM
Central High School,High,2008-08-21,Knoxville,TN,08:11:00
South High School,High,2008-09-02,Willoughby,OH,
Mira Loma High School,High,2008-09-15,Sacramento,CA,
George Washington Preparatory High School,High,2008-09-19,Athens,CA,6:00 PM
Henry Ford High School,High,2008-10-16,Detroit,MI,3:15 PM
