School,Type,Date,City,State,Time
Antioch High School,High,2018-08-11,Nashville,TN,6:00 PM
Palm Beach Central High School,High,2018-08-17,Wellington,FL,9:45 PM
Alabama State University Stadium (high school game),High,2018-08-23,Montgomery,AL,9:30 PM
Metro East Lutheran High School,High,2018-08-24,Chicago,IL,
Raines High School,High,2018-08-24,Jacksonville,FL,10:00 PM
Cole Middle School,Middle,2018-08-28,Denver,CO,2:00 PM
Towne Point Elementary School,Elementary,2018-08-29,Dover,DE,10:00 PM
Ottawa Hills High School,High,2018-08-30,Grand Rapids,MI,10:30:00
Villa Heights Elementary School,Elementary,2018-08-30,Charlotte,NC,8:30 AM
Balboa High School,High,2018-08-31,San Francisco,CA,3:11 PM
North Scott Junior High School,Junior High,2018-08-31,Eldridge,IA,8:30 AM
Luisa Pineiro Fuentes School of Science and Discovery,Elementary,2018-09-03,New York,NY,9:20 PM
Providence Career and Technical Academy,High,2018-09-05,Providence,RI,2:00 PM
Herbert Hoover High School,High,2018-09-07,Des Moines,IA,9:00 PM
Gilroy High School,High,2018-09-09,Gilroy,CA,1:00 PM
Chatham Academy High School,High,2018-09-10,Chicago,IL,4:00 PM
Fairley High School,High,2018-09-10,Memphis,TN,4:00 PM
Canyon Springs High School,High,2018-09-11,Las Vegas,NV,2:40 PM
Boynton Beach High School,High,2018-09-14,Boynton Beach,FL,
Mariner High School,High,2018-09-14,Everett,WA,9:00 PM
Blossomwood Elementary School,Elementary,2018-09-17,Huntsville,AL,10:30 AM
CHAMPS Charter High School,High,2018-09-20,Los Angeles,CA,12:10 PM
Pomona High School,High,2018-09-20,Pomona,CA,
Appling County High School,High,2018-09-24,Baxley,GA,
Central High School,High,2018-09-24,Philadelphia,PA,8:15 AM
Lawrence Orr Elementary School,Elementary,2018-09-24,Charlotte,NC,9:00 AM
Maree Garnett Farring Elementary,Elementary,2018-09-26,Baltimore,MD,
Hebron High School,High,2018-09-27,Carrollton,TX,8:35 PM
Chamberlain High School,High,2018-09-28,Chamberlain,SD,3:30 PM
Chicot Elementary School,Elementary,2018-10-02,Little Rock,AR,10:00 AM
Denali Montessori Elementary School,Elementary,2018-10-03,Anchorage,AK,10:00:00
Jason Lee Elementary School,Elementary,2018-10-04,Portland,OR,4:35 PM
Haywood High School,High,2018-10-05,Brownsville,TN,9:30 PM
Lake Taylor High School,High,2018-10-05,Norfolk,VA,9:30 PM
Varina High School,High,2018-10-07,Henrico,VA,9:30 PM
Battle Creek Academy,Elementary,2018-10-12,Battle Creek,MI,1:00 PM
McGavock High School,High,2018-10-13,Nashville,TN,9:04 PM
Shiloh Middle School,Middle,2018-10-20,Snellville,GA,3:00 PM
Dunbar Elementary School,Elementary,2018-10-22,Bridgeport,CT,8:00 AM
Gossler Park Elementary School,Elementary,2018-10-23,Manchester,NH,
Cody High School,High,2018-10-25,Detroit,MI,
Butler High School,High,2018-10-29,Matthews,NC,07:15:00
Crums Lane Elementary School,Elementary,2018-11-04,Louisville,KY,5:57 PM
Academy of Hope,K-8,2018-11-05,Conway,SC,11:00 AM
Cleveland Elementary School,Elementary,2018-11-08,Santa Barbara,CA,2:00 AM
Garrett Middle School,Middle,2018-11-09,Marietta,GA,
Eastern Tech High School,High,2018-11-12,Essex,MD,12:23 PM
Simonsdale Elementary School,Elementary,2018-11-20,Portsmouth,VA,4:00 PM
Pentwater Public School,K-8,2018-11-21,Pentwater,MI,8:45 AM
Mount Rainier High School,High,2018-11-22,Des Moines,WA,12:00 PM
Skyline High School,High,2018-11-22,Dallas,TX,9:30 AM
Africentric Early College High School,K-12,2018-11-24,Columbus,OH,6:00 PM
Strawberry Mansion High School,High,2018-11-28,Philadelphia,PA,3:30 PM
Jefferson High School,High,2018-12-10,Jefferson,NY,9:49 AM
Cawood Elementary School,Elementary,2018-12-11,Cawood,KY,8:41 PM
Dennis Intermediate School,Middle,2018-12-13,Richmond,IN,8:00 AM
Winnetonka High School,High,2018-12-14,Kansas City,MO,3:00 PM
A I du Pont High School,High,2018-12-18,Greenville,DE,7:45 PM
Central Elementary School,Elementary,2019-01-07,Belmont,CA,11:00 PM
Cascade Middle School,Middle,2019-01-11,Eugene,OR,10:27 AM
Central High School,High,2019-01-18,Tuscaloosa,AL,2:30 PM
Hazelwood East High School,High,2019-01-18,St. Louis,MO,2:30 PM
Sheppard Middle School,Middle,2019-01-18,Durham,NC,3:30 PM
Lakewood Middle School,Middle,2019-01-19,Overland Park,KS,9:00 PM
Southern Hills Elementary School,Elementary,2019-01-23,Shreveport,LA,3:00 PM
Davidson High School,High,2019-01-25,Mobile,AL,9:00 PM
Manassas High School,High,2019-01-25,Memphis,TN,8:25 AM
Reno High School,High,2019-01-27,Reno,NV,22:40:00
Miller Grove High School,High,2019-01-30,Lithonia,GA,7:30 PM
Atascocita High School,High,2019-01-31,Atascocita,TX,6:20 PM
Manassas High School,High,2019-01-31,Memphis,TN,4:00 PM
Minneapolis School District Bus,,2019-02-05,Minneapolis,MN,2:20 PM
Frederick Douglass High School,High,2019-02-08,Baltimore,MD,1:15 PM
Central Academy of Excellence,High,2019-02-12,Kansas City,MO,20:15:00
V. Sue Cleveland High School,High,2019-02-14,Rio Rancho,NM,7:00 AM
Eaglecrest High School,High,2019-02-17,Aurora,CO,11:00 AM
Robert E. Lee High School,High,2019-02-26,Montgomery,AL,11:00:00
Highlands Elementary School,Elementary,2019-03-01,Mission,KS,13:30:00
Lake Mary High School,High,2019-03-13,Orlando,FL,8:00 AM
Blountsville Elementary School,Elementary,2019-03-22,Blountsville,AL,11:30 AM
Mayport Coastal Sciences Middle School,Middle,2019-03-27,Jacksonville,FL,17:00:00
S V Marshall Elementary,Elementary,2019-03-27,Holmes County,MS,3:00 PM
"Prescott 
High School",High,2019-04-01,Prescott,AR,9:14 AM
Aurora West College Preparatory Academy,Unknown,2019-04-03,Aurora,CO,
Saint Clair Evans Academy,Elementary,2019-04-03,Jacksonville,FL,11:00 AM
St. Josaphat Parish School,Other,2019-04-05,Milwaukee,WI,
Hood Elementary School,Elementary,2019-04-07,Lynn,MA,
Ross Shaw Sterling Aviation High School,High,2019-04-10,Houston,TX,4:00 PM
Washington Middle School,Middle,2019-04-17,Lyons,IL,1:30 PM
Concord High School,High,2019-04-24,Concord,AR,12:40 PM
Wynbrooke Elementary Theme School,Elementary,2019-04-25,Stone Mountain,GA,1:00 PM
Creekside High School,High,2019-04-26,Fairburn,GA,4:30 PM
C D Hylton High School,High,2019-04-30,Woodbridge,VA,12:00 PM
Weightman Middle School,Middle,2019-04-30,Wesley Chapel,FL,12:00 PM
STEM School Highlands Ranch,K-12,2019-05-07,Highlands Ranch,CO,2:00 PM
Second Change High School,High,2019-05-08,Chicago,IL,4:00 PM
Parkrose High School,High,2019-05-17,Portland,OR,11:48 AM
Terry Parker High School,High,2019-05-17,Jacksonville,FL,8:37 PM
Shady Lane Elementary School,Elementary,2019-05-22,Columbus,OH,18:50:00
Hendley Elementary School,Elementary,2019-05-30,Washington,DC,10:40 PM
Genevieve Melody STEM Elementary School,Elementary,2019-06-06,Chicago,IL,7:45 PM
Menta Academy North,Other,2019-06-10,Waukegan,IL,1:45 PM
Hendley Elementary School,Elementary,2019-06-12,Washington,DC,4:20 PM
Jefferson Elementary School,Elementary,2019-06-12,Emmaus,PA,10:48 PM
Tamaques Elementary School,Elementary,2019-06-13,Westfield,NJ,3:55 PM
Carman-Ainsworth High School,High,2019-06-21,Flint Township,MI,7:33 PM
Jack Swigert Aerospace Academy ,Elementary,2019-06-29,Colorado Springs,CO,4:00 AM
School of Science and Applied Learning,Elementary,2019-07-01,New York,NY,10:20 PM
Williwaw Elementary School,Elementary,2019-07-02,Anchorage,AK,6:47 PM
Bulkeley High School,High,2019-07-11,Hartford,CT,12:00 PM
Monroe Clark Middle School,Middle,2019-07-19,San Diego,CA,11:55 AM
