Incident_ID,Date,Quarter,School,City,State,School_Level,Location,During_School,Time_Period,First_Shot,Bullied,Domestic_Violence,Gang_Related,Preplanned
19940121TXKEK,1994-01-21,Winter,Kennard High School,Kennard,TX,High,Classroom,Yes,Morning Classes,8:02 AM,No,No,No,No
19940124SCEAC,1994-01-24,Winter,Eau Claire High School,Columbia,SC,High,Hallway,Yes,Unknown,,Yes,No,No,No
19940126DCELW,1994-01-26,Winter,Eliot Junior High School,Washington,DC,Junior High,Hallway,Yes,Dismissal,3:30 PM,No,No,,No
19940126DCPAW,1994-01-26,Winter,Paul Lawrence Dunbar High School,Washington,DC,High,Hallway,Yes,Morning Classes,10:50 AM,No,No,No,No
19940127CAWAS,1994-01-27,Winter,Washington Elementary School,San Jose,CA,Elementary,Parking Lot,Yes,,2:30 PM,No,No,Yes,No
19940131WAWHS,1994-01-31,Winter,Whitman Middle School,Seattle,WA,Middle,Field (General),No,Before School,6:30 AM,No,No,No,No
19940208MIOSD,1994-02-08,Winter,Osborn High School,Detroit,MI,High,Parking Lot,Yes,,,No,No,No,No
19940218SCSPS,1994-02-18,Winter,Spartanburg High School,Spartanburg,SC,High,Parking Lot,No,Sport Event,10:00 PM,No,No,No,No
19940301MOKEB,1994-03-01,Spring,Kemper Military School and College,Boonville,MO,Other,Cafeteria,Yes,Morning Classes,9:00 AM,No,Yes,No,No
19940303ALENB,1994-03-03,Spring,Ensley High School,Birmingham,AL,High,Other,Yes,Lunch,,No,No,Yes,No
19940309DCEAW,1994-03-09,Spring,Eastern High School,Washington,DC,High,Cafeteria,Yes,Lunch,11:00 AM,No,No,No,No
19940315SCGOC,1994-03-15,Spring,Goose Creek High School,Charleston,SC,High,Outside on School Property,No,After School,,No,No,No,No
19940323WABAS,1994-03-23,Spring,Ballard High School,Seattle,WA,High,Parking Lot,Yes,Lunch,12:00 PM,No,No,Yes,No
19940325GAETC,1994-03-25,Spring,Etowah High School,Cherokee County,GA,High,Classroom,Yes,,,Yes,No,No,No
19940405TXMCA,1994-04-05,Spring,McNeil High School,Austin,TX,High,Classroom,Yes,,,No,No,No,No
19940408MDLAU,1994-04-08,Spring,Largo High School,Upper Marlboro,MD,High,Bathroom,Yes,Morning Classes,9:00 AM,No,No,No,No
19940412MTMAB,1994-04-12,Spring,Margaret Leary Elementary School,Butte,MT,Elementary,Playground,Yes,Before School,,Yes,No,No,No
19940413CA49L,1994-04-13,Spring,49th Street Elementary School,Los Angeles,CA,Elementary,Front of School,Yes,Before School,,No,No,No,No
19940419DCELW,1994-04-19,Spring,Eliot Junior High School,Washington,DC,High,Front of School,No,Night,,No,No,,No
19940420INDIS,1994-04-20,Spring,Dickinson Middle School,South Bend,IN,Middle,Classroom,Yes,Morning Classes,930am,No,No,,No
19940421TNJTN,1994-04-21,Spring,J T Moore Middle School,Nashville,TN,Middle,Classroom,Yes,Afternoon Classes,13:30:00,No,No,No,No
19940502FLNON,1994-05-02,Spring,North Miami High School,North Miami,FL,High,Parking Lot,Yes,Lunch,12:00 PM,No,No,No,No
19940525NJLAW,1994-05-25,Spring,Lakeland Regional High School,Wanaque,NJ,High,Beside Building,Yes,Morning Classes,8:30 AM,No,No,No,No
19940525INLAS,1994-05-25,Spring,LaSalle High School,South Bend,IN,High,Parking Lot,Yes,Lunch,12:30 PM,No,No,No,No
19940526KYLAU,1994-05-26,Spring,Larry A. Ryle High School,Union,KY,High,Classroom,Yes,Morning Classes,9:00 AM,No,No,No,No
19940724PAMAM,1994-07-24,Summer,Manchester Elementary School,Manchester,PA,Elementary,Basketball Court,No,Not a School Day,,No,No,No,No
19940725IAOTO,1994-07-25,Summer,Ottumwa High School,Ottumwa,IA,High,Beside Building,Yes,Lunch,11:38 AM,No,No,No,No
19940907CAHOL,1994-09-07,Fall,Hollywood High School,Los Angeles,CA,High,Front of School,No,After School,3:30 PM,No,No,Yes,No
19940908NYSWA,1994-09-08,Fall,Sweet Home High School,Albany,NY,High,Classroom,Yes,Morning Classes,9:00 AM,Yes,No,No,No
19940919CALOL,1994-09-19,Fall,Locke High School,Los Angeles,CA,High,Front of School,Yes,Morning Classes,10:20 AM,No,No,Yes,No
19940922ORLEL,1994-09-22,Fall,Lebanon Union High School,Lebanon,OR,High,Parking Lot,Yes,Not a School Day,,No,No,No,No
19941012NCGRG,1994-10-12,Fall,Grimsley High School,Greensboro,NC,High,Parking Lot,Yes,Dismissal,,No,No,No,No
19941017ILHUC,1994-10-17,Fall,Hubbard High School,Chicago,IL,High,Front of School,Yes,Dismissal,2:15 PM,No,No,Yes,No
19941031CAALA,1994-10-31,Fall,Aliso Niguel High school,Aliso Veijo,CA,High,Classroom,Yes,Afternoon Classes,12:44 PM,No,Yes,No,No
19941105CATHS,1994-11-05,Fall,Thomas Jefferson Elementary School,San Leandro,CA,Elementary,Field (General),No,Night,,No,,No,No
19941107OHWIW,1994-11-07,Fall,Wickliffe Middle School,Wickliffe,OH,Middle,Hallway,Yes,,,No,No,No,No
19941108IAWEM,1994-11-08,Fall,West Delaware High School,Manchester,IA,High,Office,Yes,Not a School Day,2:00 PM,No,No,No,No
19941115WASTT,1994-11-15,Fall,Stadium High School,Tacoma,WA,High,Hallway,Yes,Lunch,,No,No,No,No
