School,Type,Year,Date,Time,City,State,Race,Killed,Injured,Victims,Longitude,Latitude,Weapon,Weapon Source,Age,Gender_Shooter1,Shooter_Relationship1
Lew Wallace High School,High School,2001,03/30/2001,8:15 Am,Gary,Indiana,Unknown,1,0,1,-87.34132,41.536645,Pistol,Unknown,17.0,M,Former Student (Expelled)
Monroe City Alternative Center,nan,2001,04/20/2001,7:20 Am,Monroe,Louisiana,Unknown,0,0,0,-92.070624,32.524187,.380 Caliber Semi-Automatic Pistol,Unknown,14.0,M,Student
Ennis High School,High School,2001,05/15/2001,12:00 Pm,Ennis,Texas,Unknown,0,0,0,-96.629758,32.305062,.357 Magnum Pistol,Unknown,16.0,M,Student
Belmont High School,High School,2001,07/30/2001,7:20 Am,Los Angeles,California,Unknown,0,1,1,-118.263286,34.061499,Revolver,Unknown,Unknown,M,Unknown
Latonia Elementary School,Elementary School,2001,09/12/2001,3:00 Pm,Covington,Kentucky,W,1,0,1,-84.49833,39.044149,.380-Caliber Semiautomatic Pistol,Unknown,30.0,F,Parent Of Student
Redondo Union High School,High School,2001,10/26/2001,10:00 Am,Redondo Beach,California,Unknown,0,1,1,-118.384456,33.844274,.38-Caliber Handgun,Unknown,16.0,M,Student
Caro Learning Center,nan,2001,11/12/2001,2:40 Pm,Caro,Michigan,Unknown,0,0,0,-83.438553,43.458011,20-Guage Shotgun,Legally Purchased By Shooter,17.0,M,Student
"Martin Luther King, Jr. High School",High School,2002,01/15/2002,2:00 Pm,New York City,New York,Unknown,0,2,2,-73.985021,40.774262,Lorcin .380-Caliber Semiautomatic Pistol,Illegally Purchased,17.0,M,Student
Gardena High School,High School,2002,02/06/2002,2:50 Pm,Los Angeles,California,Unknown,0,2,2,-118.296704,33.866342,Pistol,Unknown,17.0,M,Student
Benjamin Tasker Middle School,Middle School,2002,10/07/2002,8:09 Am,Bowie,Maryland,B,0,1,1,-76.746341,38.957407,Bushmaster Xm-15 Rifle,Stolen,Unknown,M,None
Lincoln High School,High School,2002,10/29/2002,8:30 Am,Jersey City,New Jersey,Unknown,0,1,1,-74.070502,40.716783,Browning .380-Caliber Pistol,Unknown,15.0,M,Student
St. James Catholic School,nan,2002,11/07/2002,12:30 Pm,Liberty,Missouri,Unknown,1,1,2,-94.45515,39.240746,Revolver,Legally Purchased By Shooter,41.0,M,Parent Of Student
Mount Pleasant High School,High School,2003,01/22/2003,Unknown,Providence,Rhode Island,Unknown,0,0,0,-71.45125,41.837981,22-Caliber Semi-Automatic,Unknown,Unknown,M,Student
Ranum High School,High School,2003,02/05/2003,8:40 Am,Westminster,Colorado,Unknown,0,0,0,-105.015495,39.841774,Small Semi-Automatic Handgun,Unknown,14.0,M,Student
Cardozo High School,High School,2003,04/01/2003,12:15 Pm,Washington,District Of Columbia,Unknown,0,1,1,-77.029756,38.922338,Handgun,Unknown,15.0,M,Student
John Mcdonogh High School,High School,2003,04/14/2003,10:30 Am,New Orleans,Louisiana,Unknown,1,3,4,-90.075733,29.974421,Ak-47 And Semiautomatic Pistol,Unknown,19.0,M,None
Delhi Middle School,Middle School,2003,04/15/2003,8:15 Am,Delhi,California,Unknown,0,1,1,-120.792392,37.426801,Handgun,Unknown,Unknown,M,Unknown
Red Lion Area Junior High School,Middle School,2003,04/24/2003,7:30 Am,Red Lion,Pennsylvania,W,1,0,1,-76.609728,39.893809,".44-Caliber Handgun, .22-Caliber Gun To Kill Himself",Stepfather,14.0,M,Student
Vicksburg High School,High School,2003,09/10/2003,2:30 Pm,Vicksburg,Mississippi,Unknown,1,0,1,-90.885251,32.323263,Handgun,Unknown,20.0,M,Unknown
Lewis And Clark High School,High School,2003,09/22/2003,11:10 Am,Spokane,Washington,W,0,0,0,-117.419841,47.652394,9 Millimeter Semiautomatic Pistol,Home,16.0,M,Student
Rocori High School,High School,2003,09/24/2003,11:38 Am,Cold Spring,Minnesota,W,2,0,2,-94.426618,45.466258,.22 Caliber Pistol,Father,15.0,M,Student
Burns Middle School,Middle School,2003,09/25/2003,8:00 Am,Lawndale,North Carolina,Unknown,0,0,0,-81.539104,35.425762,9Mm Handgun,Unknown,13.0,M,Student
Rio Cazadero High School,High School,2003,10/01/2003,9:00 Am,Sacramento,California,Unknown,0,2,2,-121.435306,38.469639,Officer Weapons,Police,Unknown,M,Multiple Officers
East Mecklenburg High School,High School,2003,11/13/2003,11:45 Am,Charlotte,North Carolina,Unknown,0,1,1,-80.756579,35.175976,.25-Caliber Handgun,Unknown,15.0,M,Student
Ballou High School,High School,2004,02/02/2004,10:30 Am,Washington,District Of Columbia,B,1,1,2,-77.001667,38.839005,.380-Caliber Pistol,Puchased By Shooter And Friends,18.0,M,Student
Columbia High School,High School,2004,02/09/2004,10:30 Am,East Greenbush,New York,W,0,1,1,-73.690848,42.62068,12-Gauge Winchester Shotgun,Unknown,16.0,M,Student
T.M. Peirce Elementary School,Elementary School,2004,02/11/2004,8:30 Am,Philadelphia,Pennsylvania,B,1,1,2,-75.168248,39.998621,"Carbine Rifle, Assault Weapon",Unknown,19.0,M,None
Castlemont High School,High School,2004,06/09/2004,12:22 Pm,Oakland,California,Unknown,0,2,2,-122.16302,37.75982,Unknown,Unknown,Unknown,Unknown,Unknown
Proviso East High School,High School,2004,08/30/2004,2:30 Pm,Maywood,Illinois,B,1,0,1,-87.83382,41.88062,Handgun,Unknown,Unknown,M,None
Wirt High School,High School,2004,09/15/2004,Unknown,Gary,Indiana,Unknown,0,0,0,-87.26145,41.60997,Handgun,Unknown,Unknown,M,Student
Thurgood Marshall High School,High School,2004,10/21/2004,4:00 Pm,Baltimore,Maryland,Unknown,0,2,2,-76.54552,39.31911,Handgun,Unknown,16.0,M,Student
Booker T. Washington High School,High School,2004,11/12/2004,12:00 Pm,New Orleans,Louisiana,Unknown,0,1,1,-90.08893,29.94966,.38-Caliber Revolver,Department Issued,28.0,F,Security Guard
Emmanuel Christian Academy,nan,2004,12/07/2004,3:00 Pm,Jackson,Mississippi,Unknown,0,1,1,-90.196049,32.288835,.22 Caliber Handgun,Unknown,28.0,F,Unknown
Woodruff High School,High School,2005,01/26/2005,Unknown,Peoria,Illinois,B,0,0,0,-89.57513,40.70725,Handgun,Unknown,15.0,M,Student
Bowen High School,High School,2005,02/08/2005,2:32 Pm,Chicago,Illinois,Unknown,0,1,1,-87.557742,41.73354,Unknown,Unknown,Unknown,Unknown,Unknown
Maplewood Comprehensive High School,High School,2005,03/09/2005,2:00 Pm,Nashville,Tennessee,Unknown,0,1,1,-86.74568,36.22912,Handgun,Unknown,16.0,M,Former Student (Expelled)
Red Lake High School,High School,2005,03/21/2005,2:49 Pm,Red Lake,Minnesota,Ai,7,7,14,-95.0629,47.8509,".40 Caliber Glock 23 Pistol, 870 12 Gauge Pump-Action Shotgun",Grandfather,16.0,M,Former Student
Canton High School,High School,2005,04/07/2005,9:20 Am,Canton,Texas,W,0,1,1,-95.86617,32.54958,.45-Caliber Pistol,Legally Purchased By Shooter,45.0,M,Father Of Football Player
Highland Elementary School,Elementary School,2005,05/17/2005,3:00 Pm,Lower Allen Township,Pennsylvania,Unknown,1,0,1,-76.95256,40.21999,9 Mm Semiautomatic Handgun,Unknown,47.0,M,Dating Mother Of Student
Maury Middle School,Middle School,2005,08/25/2005,9:30 Am,Jacksboro,Tennessee,Unknown,0,1,1,-83.4041,36.0213,".38-Caliber Smith & Wesson, .22-Caliber Handgun",Guardian (Uncle),14.0,M,Student
Sojourner Truth High School,High School,2005,09/02/2005,12:50 Pm,Jacksonville,Florida,Unknown,0,1,1,-81.61618,30.27037,Handgun,Unknown,Unknown,M,Unknown
Harlan Community Academy High School,High School,2005,09/13/2005,2:20 Pm,Chicago,Illinois,Unknown,0,1,1,-87.62085,41.7184,.25-Caliber Handgun,Unknown,15.0,M,Student
Farmington High School,High School,2005,10/11/2005,8:00 Am,Farmington,Missouri,W,0,0,0,-90.43619,37.78108,Single-Shot Shotgun,Father,17.0,M,Student
Saginaw High School,High School,2005,10/20/2005,12:00 Pm,Saginaw,Michigan,Unknown,0,1,1,-83.92541,43.40713,.380-Caliber Handgun,Stolen,15.0,M,Student
Campbell County High School,High School,2005,11/08/2005,2:00 Pm,Jacksboro,Tennessee,W,1,2,3,-84.14832,36.35086,.22-Caliber Pistol,Unknown,15.0,M,Student
Central High School,High School,2005,12/06/2005,1:30 Pm,Detroit,Michigan,Unknown,0,1,1,-83.11269,42.38469,Unknown,Unknown,18.0,M,Unknown
Mary Mcleod Bethune Academy,nan,2006,01/11/2006,12:30 Pm,Milwaukee,Wisconsin,Unknown,0,1,1,-87.95774,43.05063,Unknown,Unknown,18.0,M,Unknown
Milwee Middle School,Middle School,2006,01/13/2006,9:30 Am,Longwood,Florida,W,1,0,1,-81.34669,28.68172,High-Powered Rifle,Police Issued,Unknown,M,Swat Officer
Indian River High School,High School,2006,01/18/2006,11:00 Am,Chesapeake,Virginia,Unknown,0,0,0,-76.24185,36.79721,Unknown,Unknown,19.0,M,Unknown
Will C. Wood High School,High School,2006,01/23/2006,9:45 Am,Vacaville,California,Unknown,0,1,1,-121.97421,38.34635,Small Revolver,Unknown,14.0,M,Student
Lakeview Centennial High School,High School,2006,01/27/2006,Unknown,Garland,Texas,Unknown,0,2,2,-96.57589,32.85566,Small-Caliber Semiautomatic Handgun,Unknown,16.0,M,Student
Westinghouse High School,High School,2006,02/21/2006,7:45 Am,Pittsburgh,Pennsylvania,Unknown,0,1,1,-79.90059,40.4607,Ak-47,Unknown,23.0,M,Unknown
Roseburg High School,High School,2006,02/23/2006,7:45 Am,Roseburg,Oregon,W,0,1,1,-123.34712,43.208,Large-Caliber Handgun With Hollow-Point Bullets,Unknown,14.0,M,Student
Pine Middle School,Middle School,2006,03/14/2006,9:00 Am,Reno,Nevada,W,0,2,2,-119.78186,39.47981,.38-Caliber Pistol,Father,14.0,M,Student
Venice High School,High School,2006,06/05/2006,3:10 Pm,Los Angeles,California,B,1,0,1,-118.44282,33.99881,Handgun,Unknown,21.0,M,Unknown
Orange High School,High School,2006,08/30/2006,1:00 Pm,Hillsborough,North Carolina,H,0,2,2,-79.09337,36.09233,"9 Mm Rifle, A Mossburg 12-Gauge Sawed-Off Shotgun",Unknown,19.0,M,Former Student
South Hills High School,High School,2006,09/08/2006,1:20 Pm,Fort Worth,Texas,Unknown,0,1,1,-97.36,32.65726,Handgun,Police Issued Weapon,Unknown,M,Resource Officer
Platte Canyon High School,High School,2006,09/27/2006,11:40 Am,Bailey,Colorado,W,1,0,1,-105.64543,39.45566,".40 S&W Caliber Glock 22 Pistol, Smith & Wesson .357-Caliber Revolver",Unknown,53.0,M,Unknown
Weston High School,High School,2006,09/29/2006,8:10 Am,Cazenovia,Wisconsin,W,1,0,1,-90.19016,43.48211,"Long-Barrel Shotgun, 22-Pistol",Father,15.0,M,Student
West Nickel Mines Amish School,nan,2006,10/02/2006,11:07 Am,Nickel Mines,Pennsylvania,W,5,5,10,-76.084367,39.960081,"9Mm Handgun, A Shotgun, A 30.06 Rifle",Purchased Legally By Shooter,32.0,M,None; Worked In Community
Memorial Middle School,Middle School,2006,10/09/2006,7:45 Am,Joplin,Missouri,W,0,0,0,-94.51586,37.08277,Mac 90 7.26 Mm Assault Rifle,Parent,13.0,M,Student
Henry Foss High School,High School,2007,01/03/2007,7:30 Am,Tacoma,Washington,Unknown,1,0,1,-122.49364,47.24114,Handgun,Unknown,18.0,M,Student
Robert A. Taft Information Technology High School,High School,2007,01/08/2007,10:45 Am,Cincinnati,Ohio,Unknown,0,0,0,-84.52183,39.10911,Unknown,Unknown,16.0,M,Student
William L.Sayre High School,High School,2007,01/18/2007,8:25 Am,Philadelphia,Pennsylvania,Unknown,0,1,1,-75.2374,39.95793,9 Mm Semi-Automatic Ruger,Unknown,Unknown,M,Unknown
Herbert Henry Dow High School,High School,2007,03/07/2007,10:57 Am,Midland,Michigan,W,0,1,1,-84.27414,43.64091,.44 Caliber Handgun,Unknown,17.0,M,Girlfriend Was Student
Chicago Vocational Career Academy,nan,2007,04/09/2007,2:30 Pm,Chicago,Illinois,Unknown,0,1,1,-87.57236,41.7372,9Mm Handgun,Unknown,15.0,M,Student
Springwater Trail High School,High School,2007,04/10/2007,2:15 Pm,Gresham,Oregon,Unknown,0,10,10,-122.40894,45.48655,.270 Winchester Rifle With Scope,Stepfather,15.0,M,Student
Liberty Memorial Middle School,Middle School,2007,05/15/2007,10:00 Am,Los Fresnos,Texas,Unknown,0,0,0,-97.5108,26.1106,.38 Semiautomatic Handgun,Father,14.0,M,Student
George S. Middleton High School,High School,2007,06/06/2007,12:00 Pm,Tampa,Florida,Unknown,0,0,0,-82.43267,27.99133,.22-Caliber Handgun,Unknown,17.0,M,Former Student
Successtech Academy,nan,2007,10/10/2007,1:15 Pm,Cleveland,Ohio,Unknown,0,4,4,-81.6869,41.50762,".22-Caliber Revolver, .38-Caliber Revolver",Unknown,14.0,M,Student
Groves High School,High School,2007,10/15/2007,2:45 Pm,Garden City,Georgia,Unknown,0,0,0,-81.15661,32.10841,Unknown,Unknown,Unknown,M,Unknown
Crossroads Charter High School,High School,2008,01/16/2008,10:15 Am,Charlotte,North Carolina,B,0,1,1,-80.77591,35.26039,Unknown,Unknown,16.0,M,Student
Hamilton High School,High School,2008,02/04/2008,10:00 Am,Memphis,Tennessee,Unknown,0,1,1,-90.0174,35.10069,380-Caliber Handgun,Unknown,16.0,M,Student
Notre Dame Elementary School,Elementary School,2008,02/07/2008,9:12 Am,Portsmouth,Ohio,W,0,1,1,-82.986607,38.735563,Unknown,Unknown,56.0,M,Spouse Of Teacher
Mitchell High School,High School,2008,02/11/2008,9:00 Am,Memphis,Tennessee,Unknown,0,1,1,-90.08589,35.05595,.22-Caliber Pistol,Purchased From Someone In Apartment Complex,17.0,M,Student
E.O. Green Junior High School,Middle School,2008,02/12/2008,8:15 Am,Oxnard,California,Unknown,1,0,1,-119.1814,34.16568,.22-Caliber Handgun,Relative,14.0,M,Student
Friends Of Children Head Start Center,nan,2008,03/18/2008,1:00 Pm,Carthage,Mississippi,Unknown,1,1,2,Unknown,Unknown,.45-Caliber Handgun,Unknown,23.0,Unknown,Unknown
Roosevelt High School,High School,2008,04/16/2008,11:54 Am,Fresno,California,Unknown,1,0,1,-119.7537,36.74302,Pistol,Department Issued,38.0,M,Resource Officer
Central High School,High School,2008,08/21/2008,8:10 Am,Knoxville,Tennessee,Unknown,1,0,1,-83.9216,36.0392,"Small-Caliber, Semiautomatic Pistol",Unknown,15.0,M,Student
Dillard High School,High School,2008,11/12/2008,11:00 Am,Fort Lauderdale,Florida,B,1,0,1,-80.176,26.1383,.22-Caliber Semi-Automatic Handgun,Family Member,15.0,F,Student
Central High School,High School,2009,02/17/2009,2:00 Pm,Detroit,Michigan,Unknown,0,2,2,-83.1115,42.3837,Handgun,Unknown,17.0,M,Non-Student
John Muir Elementary School,Elementary School,2009,02/20/2009,12:00 Pm,Hayward,California,M,0,0,0,-122.083,37.6566,Shotgun,Unknown,Unknown,H,Unknown
Ribault High School,High School,2009,03/10/2009,7:22 Am,Jacksonville,Florida,Unknown,0,0,0,-81.707,30.3895,Unknown,Unknown,Unknown,Unknown,Unknown
Larose-Cut Off Middle School,Middle School,2009,05/18/2009,9:00 Am,Larose,Louisiana,Unknown,0,0,0,-90.3295,29.5004,25-Caliber Nickel Plate Semi-Automatic,Father,15.0,M,Student
Stamford Academy,nan,2009,09/08/2009,8:05 Am,Stamford,Connecticut,Unknown,0,0,0,-73.536464,41.059329,.22-Caliber Pistol,Unknown,16.0,M,Student
Virginia Randolph Community High School,High School,2009,09/16/2009,12:30 Pm,Glen Allen,Virginia,Unknown,0,0,0,-77.483135,37.661586,.40-Caliber Handgun,Unknown,16.0,M,Student
Mattituck Junior-Senior High School,High School,2009,10/08/2009,2:00 Pm,Mattituck,New York,Unknown,0,1,1,-72.529205,40.996241,22-Caliber Rifle,Mother,28.0,M,Unknown
Carolina Forest High School,High School,2009,10/16/2009,8:25 Am,Conway,South Carolina,W,1,0,1,-78.97152,33.780761,.40 Caliber Glock,Department Issued,Unknown,M,School Resource Officer
Booker T. Washington High School,High School,2009,12/11/2009,8:10 Am,Shreveport,Louisiana,B,0,1,1,-93.77398,32.503605,Handgun,Unknown,28.0,M,Ex-Boyfriend Of Student
Discovery Middle School,Middle School,2010,02/05/2010,1:45 Pm,Madison,Alabama,A,1,0,1,-86.741148,34.740322,.22-Caliber Pistol,Friend'S Home,14.0,M,Student
Deer Creek Middle School,Middle School,2010,02/23/2010,3:14 Pm,Littleton,Colorado,W,0,2,2,-105.102,39.5869,Hunting Rifle,Unknown,32.0,M,Unknown
Woodrow Wilson High School,High School,2010,04/28/2010,12:15 Pm,Portsmouth,Virginia,B,0,0,0,-76.381349,36.815009,Handgun,Unknown,15.0,M,Student
South Gate High School,High School,2010,05/18/2010,7:51 Am,South Gate,California,Unknown,0,1,1,-118.209757,33.954604,Unknown,Unknown,15.0,M,Student
Sullivan Central High School,High School,2010,08/30/2010,9:10 Am,Blountville,Tennessee,Unknown,1,0,1,-82.387049,36.531336,Handgun,Department Issued,Unknown,Unknown,Police Officer
Socastee High School,High School,2010,09/21/2010,2:00 Pm,Conway,South Carolina,W,0,1,1,-79.004328,33.6788,Revolver,Parent,14.0,M,Student
Alisal High School,High School,2010,10/01/2010,7:53 Am,Salinas,California,Unknown,1,0,1,-121.595961,36.686184,Unknown,Unknown,Unknown,M,Unknown
Kelly Elementary School,Elementary School,2010,10/08/2010,12:00 Pm,Carlsbad,California,W,0,2,2,-117.311227,33.14836,.357-Caliber Magnum Revolver,Unknown,41.0,M,None
Marinette High School,High School,2010,11/29/2010,1:30 Pm,Marinette,Wisconsin,W,0,0,0,-87.629512,45.084351,Handgun,Unknown,15.0,M,Student
Millard South High School,High School,2011,01/05/2011,12:45 Pm,Omaha,Nebraska,B,1,2,3,-96.146049,41.203481,Glock .40-Caliber S&W Pistol,Father,17.0,M,Student
Gardena High School,High School,2011,01/18/2011,10:40 Am,Los Angeles,California,Unknown,0,2,2,-118.29633,33.866372,9-Mm Beretta Handgun,Unknown,17.0,M,Student
Louisiana Schnell Elementary School,Elementary School,2011,02/02/2011,10:37 Am,Placerville,California,W,1,0,1,-120.779419,38.735106,.357-Caliber Revolver,Legally Purchased By Shooter,44.0,M,Janitor
Martinsville West Middle,nan,2011,03/25/2011,7:00 Am,Martinsville,Indiana,W,0,1,1,-86.427053,39.420621,9Mm Handgun,Friend'S Home,15.0,M,Former Student (Expelled)
Sheeler Charter High School,High School,2011,04/13/2011,12:00 Pm,Apopka,Florida,B,0,1,1,-81.494124,28.673157,Unknown,Unknown,17.0,M,Unknown
Ross Elementary School,Elementary School,2011,04/19/2011,10:20 Am,Houston,Texas,Unknown,0,2,2,-95.341835,29.800326,.380-Caliber Semi-Automatic,"Mother'S Friend, Home Shooter Was Staying",6.0,M,Student
Cape Fear High School,High School,2011,10/24/2011,1:00 Pm,Fayetteville,North Carolina,Unknown,0,1,1,-78.762384,35.034044,.22-Caliber Daisy Rifle,Unknown,15.0,M,Student
Cummings Middle School,Middle School,2012,01/04/2012,8:00 Am,Brownsville,Texas,Unknown,1,0,1,-97.493734,25.913899,Unknown,Department Issued,Unknown,M,Police Officer
North Forest High School,High School,2012,01/10/2012,12:30 Pm,Houston,Texas,Unknown,0,1,1,-95.26259,29.868788,Handgun,Unknown,18.0,M,Student
Walpole Elementary School,Elementary School,2012,02/10/2012,11:00 Am,Walpole,New Hampshire,Unknown,0,0,0,-72.426439,43.078915,20-Gauge Shotgun,Unknown,14.0,M,Student
Armin Jahr Elementary School,Elementary School,2012,02/22/2012,1:30 Pm,Bremerton,Washington,W,0,1,1,-122.63622,47.593761,.45 Caliber Handgun,Mother,9.0,M,Student
Chardon High School,High School,2012,02/27/2012,7:30 Am,Chardon,Ohio,W,3,3,6,-81.199958,41.591297,Ruger Mk Iii .22 Caliber Semi-Automatic Handgun,Uncle,17.0,M,"Student At Neighboring School, Rode Bus With Some Victims"
Episcopal School Of Jacksonville,nan,2012,03/06/2012,1:15 Pm,Jacksonville,Florida,W,1,0,1,-81.617917,30.308617,Ak-47 Assault-Style Rifle,Legally Purchased At Gun Show,28.0,M,Fired Teacher
Leflore High School,High School,2012,03/15/2012,10:50 Am,Mobile,Alabama,B,0,0,0,-88.086526,30.714209,Handgun,Unknown,16.0,M,Suspended Student From Different Campus
Mary Scroggs Elementary School,Elementary School,2012,05/25/2012,2:00 Pm,Chapel Hill,North Carolina,Unknown,1,0,1,-79.068506,35.879122,Charter Arms .44 Bulldog Revolver,Unknown,49.0,M,Parent Of Students
Perry Hall High School,High School,2012,08/27/2012,10:45 Am,Baltimore,Maryland,W,0,1,1,-76.466091,39.39186,Shotgun,Unknown,15.0,M,Student
Normal Community High School,High School,2012,09/07/2012,8:00 Am,Normal,Illinois,W,0,0,0,-88.914486,40.533285,.22-Caliber Ruger Pistol,Unknown,14.0,M,Student
Sandy Hook Elementary School,Elementary School,2012,12/14/2012,9:35 Am,Newtown,Connecticut,W,26,2,28,-73.277751,41.41978,Bushmaster Xm15-E2S Rifle,Mother,20.0,M,Former Student
Apostolic Revival Center And Christian School,nan,2013,01/07/2013,11:00 Am,Fort Myers,Florida,Unknown,1,0,1,-81.834212,26.64062,Unknown,Unknown,Unknown,Unknown,Unknown
Taft Union High School,High School,2013,01/10/2013,9:00 Am,Taft,California,W,0,2,2,-119.460383,35.146256,12-Gauge Shotgun,Older Brother,16.0,M,Student
Price Middle School,Middle School,2013,01/31/2013,1:50 Pm,Atlanta,Georgia,Unknown,0,1,1,-84.387442,33.708772,Small-Caliber Handgun,Unknown,15.0,M,Student
La Salle High School,High School,2013,04/29/2013,8:00 Am,Cincinnati,Ohio,Unknown,0,0,0,-84.586704,39.189162,.45-Caliber Semi-Automatic Handgun,Family Member,17.0,M,Student
Redland Middle School,Middle School,2013,05/23/2013,Unknown,Homestead,Florida,Unknown,0,1,1,-80.453001,25.5369,.38 Caliber Handgun,Unknown,11.0,M,Student
Ronald E. Mcnair Discovery Learning Academy,nan,2013,08/20/2013,12:51 Pm,Decatur,Georgia,W,0,0,0,-84.3068,33.7273,".762-Caliber Ak-47-Style Weapon, Manufactured By Romarm/Cugar",Acquaintence Of Shooter,20.0,M,None Apparent
Carver High School,High School,2013,08/30/2013,2:25 Pm,Winston-Salem,North Carolina,B,0,1,1,-80.2066,36.1343,.38 Caliber Handgun,Unknown,18.0,M,Student
Agape Christian Academy,nan,2013,10/04/2013,2:00 Pm,Pine Hills,Florida,Unknown,0,2,2,-81.475051,28.57586,Unknown,Unknown,Unknown,Unknown,None
Lanier High School,High School,2013,10/15/2013,12:04 Pm,Austin,Texas,H,0,0,0,-97.708,30.3606,Handgun,Unknown,16.0,M,Student
